"EDMONDBYERS (RIDDING)",,,,,,,,,,,,
Grid ref,NZ013521,Long,-1.981274,Lat,54.863681,,,,,,,
Station no,3553/8/6,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,-999.00,0.59,2.98,2.72,3.65,2.13,2.58,3.12,5.37,,
February,,-999.00,1.22,2.26,2.50,3.63,2.48,3.91,0.25,2.50,,
March,,-999.00,0.11,1.11,1.66,1.12,1.17,2.14,0.89,2.85,,
April,,-999.00,3.00,0.42,0.37,1.27,0.31,1.78,2.38,1.36,,
May,,-999.00,3.01,4.77,2.38,0.87,1.45,3.22,0.62,1.82,,
June,,-999.00,3.60,1.64,2.35,3.52,1.28,3.20,2.46,0.34,,
July,,1.32,1.73,1.62,0.90,2.76,3.75,3.33,0.72,4.76,,
August,,2.05,4.35,6.44,1.06,9.24,4.16,3.29,0.47,3.93,,
September,,4.19,2.30,3.06,1.21,3.14,3.17,2.49,0.87,2.43,,
October,,3.76,2.00,4.47,2.04,1.86,2.03,1.83,2.01,8.00,,
November,,3.42,1.72,4.57,1.48,0.79,1.90,0.36,5.05,2.84,,
December,,3.05,1.12,2.94,4.14,3.20,1.90,4.46,5.05,2.40,,
Total,,100.00,24.75,36.28,22.81,35.05,25.73,32.59,23.89,38.60,,
Calc annual,0.00,17.79,24.75,36.28,22.81,35.05,25.73,32.59,23.89,38.60,,
Difference,NaN,82.21,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
