"CARSPHAIRN SHIEL",,,,,,,,,,,,
Grid ref,NX538900,Long,-4.297625,Lat,55.182606,,,,,,,
Station no,5019,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,6.61,7.33,8.97,5.10,9.71,9.86,,
February,,,,,5.73,7.36,5.77,5.47,8.22,5.91,,
March,,,,,4.59,6.50,5.07,9.32,10.37,5.14,,
April,,,,,7.90,5.55,2.28,4.89,2.66,5.24,,
May,,,,,3.30,1.79,7.82,7.57,3.79,2.40,,
June,,,,,2.94,2.76,1.63,7.01,3.86,8.27,,
July,,,,,3.53,2.12,4.15,3.66,6.28,7.57,,
August,,,,,8.61,5.59,6.73,8.43,6.18,3.21,,
September,,,,,5.95,3.93,2.00,1.54,7.57,3.94,,
October,,,,,4.51,7.31,11.98,11.19,2.60,14.54,,
November,,,,,8.82,9.02,6.40,6.30,7.58,3.96,,
December,,,,,7.51,6.93,9.57,8.46,8.28,8.98,,
Total,,,,,70.00,66.19,72.37,78.94,77.10,79.02,,
Calc annual,0.00,0.00,0.00,0.00,70.00,66.19,72.37,78.94,77.10,79.02,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,-0.00,0.00,,
