BRIDGNORTH-QUATT-INDUSTRIAL-SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,SO755882,Long,-2.3622614,Lat,52.491157,Elevation,189,ft.,,,,,,,,,,,,
Station no,RR6417,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,2.19,3.22,1.41,1.98,4.78,2.85,,,,,,
February,,,,,,,,,1.79,2.26,1.87,1.38,2.56,0.35,,,,,,
March,,,,,,,,,1.36,1.36,1.98,1,1.7,3.01,,,,,,
April,,,,,,,,,1.56,0.93,0.67,2.22,3.45,0.69,,,,,,
May,,,,,,,,,2.98,5.19,1.09,0.89,1.42,2.03,,,,,,
June,,,,,,,,,0.36,0.85,0.54,3.19,4.88,2.41,,,,,,
July,,,,,,,,,0.57,0.28,1.13,3.03,4.11,2.43,,,,,,
August,,,,,,,,,4.57,1.03,3.76,1.03,2.75,2.36,,,,,,
September,,,,,,,,,2.23,3.75,0.66,6.04,2,1.53,,,,,,
October,,,,,,,,,1.85,1.97,4.37,2.82,4.67,1.78,,,,,,
November,,,,,,,,,1.22,2.07,2.51,0.49,3.7,1.99,,,,,,
December,,,,,,,,,6.07,3.68,1.85,1.58,3.66,0.5,,,,,,
Total,,,,,,,,,26.75,26.59,21.84,25.65,39.68,21.93,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is Quatt school, where the observer, Lewis Roach, is noted as a master in 1863.",,,,,,,,,,,,,,,,,,,,
Altitude does not quite match but the school farmed 4 acres of land using its pupils so the gauge may have been remote from the school.,,,,,,,,,,,,,,,,,,,,
No other Shropshire locations within 10km covering the same period.,,,,,,,,,,,,,,,,,,,,
