"BURGESS HILL OTE HALL",,,,,,,,,,,,
Grid ref,TQ331202,Long,-0.105916,Lat,50.965853,,,,,,,
Station no,RR4911,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,1.13,1.03,2.67,6.39,1.44,5.35,1.30,1.99,1.30,,
February,,1.78,1.04,1.68,3.95,0.91,3.55,1.71,1.17,0.41,,
March,,2.46,2.14,3.38,1.34,4.96,1.64,1.08,2.93,3.35,,
April,,2.47,1.13,2.34,1.69,2.32,0.96,3.41,2.40,2.05,,
May,,1.56,2.72,2.49,3.38,0.80,2.08,2.29,2.34,1.57,,
June,,0.97,3.53,4.17,1.18,3.24,1.95,2.10,1.41,2.70,,
July,,3.13,1.70,3.58,0.82,0.56,0.53,0.88,3.69,3.26,,
August,,1.95,4.76,4.38,1.71,2.87,1.35,2.04,5.17,2.79,,
September,,1.98,0.70,3.34,2.22,3.22,0.97,0.67,1.39,3.63,,
October,,3.56,1.99,7.15,2.34,2.27,5.61,5.61,1.64,8.05,,
November,,0.66,2.97,2.39,1.62,6.75,7.28,2.21,1.27,1.62,,
December,,5.29,2.09,2.91,3.68,0.86,2.29,3.95,3.61,5.25,,
Total,,26.94,25.80,40.48,30.32,30.20,33.56,27.25,29.01,35.98,,
Calc annual,0.00,26.94,25.80,40.48,30.32,30.20,33.56,27.25,29.01,35.98,,
Difference,NaN,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
