"WINDERMERE BROCKHOLE",,,,,,,,,,,,
Grid ref,NY389009,Long,-2.942655,Lat,54.399882,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,3.19,10.95,6.50,,
February,,,,,,,,5.54,3.94,5.02,,
March,,,,,,,,6.89,6.24,5.05,,
April,,,,,,,,3.13,3.29,4.63,,
May,,,,,,,,6.61,5.08,3.62,,
June,,,,,,,,10.23,3.48,2.64,,
July,,,,,,,,2.89,4.69,7.27,,
August,,,,,,,,7.24,7.33,3.55,,
September,,,,,,,,1.20,7.73,3.87,,
October,,,,,,,,8.39,3.68,12.16,,
November,,,,,,,,7.16,5.75,3.95,,
December,,,,,,,,9.92,6.92,12.35,,
Total,,,,,,,,72.39,69.08,70.61,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72.39,69.08,70.61,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,0.00,,
