TREHAFOD-PUMPING-STATION (ROOF GAUGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST048909,Long,-3.3761696,Lat,51.608857,Elevation,264,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,4076/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,5.3,10.4,1.81,8.35,11.64,11.83,,,,,,,,,,,,,,,,,,,12.51,,,
February,,,7.69,1.01,10.36,3.31,11.92,4.25,,,,,,,,,,,,,,,,,,,8.67,,,
March,,3.79,6.4,5.8,2.13,5.65,4.51,2.25,,,,,,,,,,,,,,,,,,,9.87,,,
April,,6.9,3.11,4.43,9.6,4.87,5.25,0.35,,,,,,,,,,,,,,,,,,,0.47,,,
May,,7.61,2.43,3.3,1.83,1.82,2.47,5.39,,,,,,,,,,,,,,,,,,,3.13,,,
June,,3.45,3.72,2.8,7.49,6.2,2.62,6.2,,,,,,,,,,,,,,,,,,,1.54,,,
July,,6.82,5.13,5.14,1.07,12.63,4.44,6.89,,,,,,,,,,,,,,,,,,,6.68,,,
August,,1.73,2.15,7.63,3.29,2.33,2.05,6.42,,,,,,,,,,,,,,,,,,,6.37,,,
September,,10.16,3.43,6.87,13.35,5.15,3.18,3.5,,,,,,,,,,,,,,,,,,,10.95,,,
October,,12.75,10.9,7.86,9.67,4.12,4.06,14.55,,,,,,,,,,,,,,,,,,,10.24,,,
November,,5.88,1.56,2.81,11.33,9.79,3.84,12.99,,,,,,,,,,,,,,,,,,,3.39,,,
December,,4.99,2.75,18.82,6.07,10.36,6.42,7.51,,,,,,,,,,,,,,,,,,,5.12,,,
Total,,,54.57,76.87,78,74.58,62.4,82.13,,,,,,,,,,,,,,,,,,,78.94,,,
