"BURNOPFIELD PRIESTFIELD, DURHAM",,,,,,,,,,
Grid ref,NZ158563,Long,-1.7551444,Lat,54.901179,Elevation,582,ft,,
Station no,RR7492,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,1.65,3.15,3.08,1.61,1.72,,,,
February,,0.57,3.27,0.56,1.26,2.52,,,,
March,,2.92,2.43,3.39,1.64,1.75,,,,
April,,1.27,0.14,2.34,0.73,0.43,,,,
May,,0.65,2.66,2.14,1.17,,,,,
June,,4.12,5.03,0.92,4.56,,,,,
July,,0.68,4.71,1.05,2.26,,,,,
August,,2.98,5.46,1.57,1.35,,,,,
September,,2.55,2.5,4.26,1.53,,,,,
October,3.63,2.63,2.31,2.62,2.36,,,,,
November,3.02,3.68,1.49,0.98,3.76,,,,,
December,2.37,3.7,1.63,1.06,5.02,,,,,
Total,,27.4,34.78,23.97,27.25,,,,,
