WORKSOP HODSOCK PRIORY (11inch),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK612853,Long,-1.081859,Lat,53.361041,Elevation,56,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,0.47,2.83,0.7,0.98,1.09,1.9,0.89,3.46,2.8,0.98,2.08,0.41,2.58,1.52,2.94,2.44,1.84,2.86,0.91,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,0.71,1.85,1.41,1.42,0.51,1.8,0.75,1.3,0.75,0.96,2.61,3.55,0.54,1.32,2.57,2.04,0.2,2.65,3.98,1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,1.95,1.24,1.35,2.77,3.15,0.56,1.14,2.49,2.71,1.81,0.94,3.78,1.81,0.8,3.54,2.18,0.84,1.35,1.77,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,1.76,0.62,1.72,1.98,1.57,1.54,0.65,0.14,2.27,0.7,0.77,1.11,1.4,1.48,1.7,3.7,1.06,2.9,1.73,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,0.44,1.37,2.94,2.04,1.43,2.28,0.84,3.26,1.74,1.57,1.43,2.47,1.88,1.99,1.07,2.09,1.39,1.25,3.15,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,2.41,2.13,2.15,1.62,3.12,2.02,2.54,4.45,0.59,2.08,0.71,1.83,1.5,0.83,0.9,1.98,0.45,0.9,0.88,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,1.28,0.45,1.4,2.5,3.63,2.52,0.15,4.75,1.01,2.3,4.59,1.24,0.7,3.59,2.41,2.95,0.53,3.42,3.05,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,2.43,1.46,1.72,2.16,3.07,3.7,1.69,4.72,1.46,1.43,3.19,1.42,4.76,1.92,2.26,0.65,3.99,6.5,2.32,3.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,1.23,0.96,0.49,1.81,2.24,0.18,1.52,1.33,2.17,1,0.71,1.31,0.57,4.29,1.86,1.55,0.62,2.35,2.21,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,1.17,4.94,5.23,0.64,2.5,2.19,2.07,2.25,3.58,2.44,1.05,1.69,2.24,1.12,2.23,1.86,2.36,0.75,1.45,3.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
