"WORKSOP HODSOCK PRIORY",,,,,,,,,,,,
Grid ref,SK612853,Long,-1.081859,Lat,53.361041,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,0.47,2.83,0.70,0.98,1.09,,
February,,,,,,0.71,1.85,1.41,1.42,0.51,,
March,,,,,,1.95,1.24,1.35,2.77,3.15,,
April,,,,,,1.76,0.62,1.72,1.98,1.57,,
May,,,,,,0.44,1.37,2.94,2.04,1.43,,
June,,,,,,2.41,2.13,2.15,1.62,3.12,,
July,,,,,,1.28,0.45,1.40,2.50,3.63,,
August,,,,,,2.43,1.46,1.72,2.16,3.07,,
September,,,,,,1.23,0.96,0.49,1.81,2.24,,
October,,,,,,1.17,4.94,5.23,0.64,2.50,,
November,,,,,,2.51,2.66,1.87,1.17,0.24,,
December,,,,,,0.39,2.38,2.25,1.31,5.18,,
Total,,,,,,16.75,22.89,23.23,20.40,27.73,,
Calc annual,0.00,0.00,0.00,0.00,0.00,16.75,22.89,23.23,20.40,27.73,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,-0.00,0.00,,
