CAMBUSLANG BUSHY HILL,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 64120 60437,Long,-4.170202,Lat,55.818011,Elevation,147,ft,,,,,,,,,,,,
Station no,RR1460,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,,,,3.5,3.33,3.3,5.6,5.92,4.13,5.83,2.48,,4.25,
February,,,,,,,,,5,5.1,2.5,3.1,2.9,0.86,1.12,1.32,4.42,,1.55,
March,,,,,,,,,3.8,0.6,0.61,2.7,2,2.5,2.73,1.59,5.08,,1.38,
April,,,,,,,,,3.1,0.8,1.09,3.33,0.68,0.2,2.1,1.22,1.7,,2.3,
May,,,,,,,,,2.1,0.8,2.74,0.82,3.17,2.65,2.7,0.93,0.57,,3.7,
June,,,,,,,,,0.2,2.3,1.52,1.55,7.18,1.12,1.45,2.85,3.03,,1.76,
July,,,,,,,,,0.35,1.5,1.97,4.87,5.28,4.65,2.62,1.31,2.37,,0.35,
August,,,,,,,,,3.5,0.6,1,3.65,3.43,4.85,4.96,2.8,4.5,,2.63,
September,,,,,,,,,2.5,5,2.93,2.95,7.47,4.85,3.77,4.15,2.7,,4.79,
October,,,,,,,,,3.9,1.5,3.29,1.76,2.83,5.38,6.73,4.95,5.81,,3.86,
November,,,,,,,,,2.85,3.95,1.84,2.37,4.47,1.76,4.4,3.65,3,,2,
December,,,,,,,,,5.85,5.65,2.17,4.18,5.15,4.77,1.77,3.9,5.13,,2,
Total,,,,,,,,,,31.3,24.99,34.58,50.16,39.51,38.48,34.5,40.79,46.54,30.57,
,,,,,,,,,,,,,,,,,,,,
1877 some confusion abt OG NG,,,,,,,,,,,,,,,,,,,,
