CAMBUSLANG BUSHY HILL,,,,,,,,,,,,,,,,,,,,
Grid ref,NS 64120 60437,Long,-4.170202,Lat,55.818011,Elevation,147,ft,,,,,,,,,,,,
Station no,RR1460,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,7.64,3.83,1.39,2.04,0.48,3.06,4.42,6.39,2.51,4,2.02,2.32,1.54
February,,,,,,,,4.13,1.47,1.5,3.33,3.16,2.9,1.6,4.05,3.02,1.29,2.61,0.71,1.86
March,,,,,,,,2.11,1.1,4.05,2.75,2.7,3.52,0.87,2.08,1.43,2.7,1.89,2.66,1.02
April,,,,,,,,2.27,2.41,1.86,3.69,1.29,1.98,2.2,1.05,0.92,1.76,1.98,1.2,1.8
May,,,,,,,,1.92,3.82,2.23,1,2.34,2.06,1.69,2.93,3.17,2.73,1.27,2.54,3.26
June,,,,,,,,2.36,1.77,6.33,1.1,2.76,3.09,2.26,0.85,0.52,1.3,0.62,1.86,0.91
July,,,,,,,,3.98,0.55,3.67,3.82,4.39,3.93,2.44,5.78,1.02,2.18,2.53,5.48,2.34
August,,,,,,,,6.53,2.72,4.58,0.65,4.07,2.25,4.08,2.07,2.69,1.52,3.25,1.8,4.41
September,,,,,,,,1.68,4.83,3.21,3.27,2.2,2.9,2.71,2.84,4.35,4.58,3.81,1.13,1.38
October,,,,,,,,4.68,3.75,1.97,0.87,1.95,3.99,3.53,2.67,2.68,3.32,1.6,1.45,2.8
November,,,,,,,,5.77,2.04,1.32,5.1,4.11,5.42,5.28,2.93,2.08,3.15,2.16,4.5,1.66
December,,,,,,,,3.81,2,2.39,3.97,3.2,4.16,3.43,5.47,1.5,3.87,2.82,3.1,2.81
Total,,,,,,,,46.88,30.29,34.5,31.59,32.65,39.26,34.51,39.11,25.89,32.4,26.56,28.75,25.79
