TOLPUDDLE (PARSONAGE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SY792945,Long,-2.2951,Lat,50.7499,Elevation,100,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,1.4,1.32,3.98,6.4,4.67,4.05,4.75,2.03,4.41,5.39,5.06,2.56,5.74,1.23,4.93,2.74,3.49,2.89,3.31,0.77,5.27,7.23,4.3,6.62,3.37,4.98,5.3,7.71,2.55,2.05,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,5.2,1.16,1.61,3.34,0.51,0.23,3.6,7.23,0.65,4.65,2.04,3.75,2.94,0.86,0.96,2.68,0.04,4.37,0.09,3.97,3.51,6.95,0.96,2.37,4.71,5.02,0.23,1.8,0.53,2.88,2.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,3.94,3.01,1.67,4.68,3,1.81,3.03,1.65,1.71,0.59,0.64,3.28,3.08,0.2,1.44,0.89,2.24,4.22,3.32,1.23,4.77,4.81,0.28,1.31,3.16,3.45,3.05,0.94,0.56,1.4,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,0.72,1.32,1.69,2.17,3.99,0.76,3.78,3.65,3.63,2.52,3.49,2.53,1.79,1.25,2.33,1.94,3,1.74,1.92,4.39,2.06,2.52,0.03,2.15,2.08,2.04,2.5,0.9,1.87,0.91,2.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,2.13,2.04,1.36,1.08,1.53,2.3,0.83,1.78,5.34,5.07,2.65,1.05,1.4,2.25,3.11,4,3.23,1.72,0.98,1.71,0.45,3.32,2.18,0.9,1.63,2.61,4.7,3.15,0.72,3.09,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,1.4,1.62,0.99,0.8,2.12,0.66,0.92,0.54,2.52,0.43,2.58,3.1,2.17,1.27,0.61,2.55,2.91,0.64,1.57,4.29,1.87,0.76,0.9,2.95,0.36,2.48,0.14,1.28,2.69,3.58,4.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,1.09,3.72,4.05,2.8,5.09,0.54,5.24,0.83,3.67,3.15,1.64,2.52,1.5,1.48,1.97,4.13,1.9,2.68,0.18,0.52,5.35,2.23,2.79,5.94,2.75,2.08,1.51,2.39,3.69,1.23,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,3.59,4.76,2.16,1.78,1.49,2.86,2.64,2.49,3.34,3.12,0.73,3.53,3.26,1.63,3.68,5.91,1.03,0.89,3.12,2.95,0.23,1.23,2.12,2.82,0.09,4.36,5.74,2.15,2.31,3.04,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,3.62,1.86,7.27,3.11,1.64,1.1,2.36,3.52,3.77,3.67,0.47,5.74,1.97,0.58,3.71,1.85,4.04,2.41,3.47,4.04,2.86,3.77,2.66,0.91,2.4,1.22,3.14,2.53,2.2,3.68,4.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,5.52,4.43,2,1.82,3.11,1.17,1.56,6.65,5.3,5.24,3.65,3.4,7.98,4.78,2.91,0.52,6.91,2.17,2.16,5.86,1.95,4.47,4.66,6.4,5.72,1.51,4.38,4.47,4.9,4.43,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,5.85,1.08,2.52,2.75,2.06,3.11,2.56,2.01,3.98,3.53,12.28,3.37,3.68,9.73,7.05,5.88,2.89,0.91,2.17,8.2,4.07,2.2,6.29,8.11,10.08,2.35,1.86,2.63,8.8,1.45,6.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,5.05,1.41,3.28,5.29,3.9,1.6,5.54,4.01,6.44,4.15,0.51,4.52,3.39,8.02,5.27,1.55,1.76,1.32,11.13,6.35,4.84,4.17,4.19,2.62,3.47,3.04,5.52,4.1,3.14,4.59,4.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,39.51,27.73,32.58,36.02,33.11,20.19,36.81,36.39,44.76,41.51,35.74,39.35,38.9,33.28,37.97,34.64,33.44,25.96,33.42,44.28,37.23,43.66,31.36,43.1,39.82,35.14,38.07,34.05,33.96,32.33,42.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
