SHIPSTON ARMSCOTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP245449,Long,-1.643732,Lat,52.101897,Elevation,241,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR6164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,0.99,1.03,1.98,0.8,3.55,3.65,0.7,2.65,1,1.76,2.66,3.47,2.57,2.11,2.37,,,,,,,,
February,,,,,,,,,1.07,0.49,3.57,1.64,1.69,1.01,1.6,3.33,3.45,1.1,0.94,2.41,0.66,0.32,2.42,,,,,,,,
March,,,,,,,,,3.16,3.07,0.5,1.8,4.1,3.14,2.53,0.8,4.44,2.06,1.01,4.05,2.58,1.15,,,,,,,,,
April,,,,,,,,,2.66,2.26,2.07,0.76,0.11,3.19,0.85,0.97,1.16,1.34,3.43,2.21,4.34,1.4,,,,,,,,,
May,,,,,,,,,1.75,1.39,1.5,0.78,2.52,2.21,1.82,2.39,2.69,2.77,1.78,0.65,1.78,1.42,,,,,,,,,
June,,,,,,,,,1.82,3.69,2.94,1.92,4.31,0.71,3.31,1.39,3.08,1.61,0.73,1.2,2.34,0.87,,,,,,,,,
July,,,,,,,,,2.2,2.33,2.05,0.16,4.07,2.56,3.39,3.68,1.69,1.96,2.91,3.04,2.98,0.21,,,,,,,,,
August,,,,,,,,,3.07,1.89,3.07,1.87,6.19,0.6,1.17,1.12,3.11,4.01,0.75,2.04,1.39,2.72,,,,,,,,,
September,,,,,,,,,1.32,2.95,0.64,1.36,0.71,2.5,0.98,0.81,1.01,2.07,5.34,1.66,2.35,1.25,,,,,,,,,
October,,,,,,,,,1.5,3.1,2.66,2.22,2.16,2.44,1.7,1.93,3.31,2.67,1.71,1.9,2.89,1.37,,,,,,,,,
November,,,,,,,,1.33,1.05,0.65,3.65,2.34,1.54,2.52,3.12,3.28,2.84,1.03,1.8,1.08,0.61,1.73,,,,,,,,,
December,,,,,,,,3.02,1.75,2.96,4.31,5.15,3.31,1.05,6.02,3.94,3,1.47,2.5,3.97,2.09,1.57,,,,,,,,,
Total,,,,,,,,,22.34,25.81,28.94,20.8,34.26,25.58,27.19,26.29,30.78,23.85,25.56,27.68,26.58,16.12,,,,,,,,,
