LINLITHGOW ROCKVILLE (second gauge),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT003768,Long,-3.599108,Lat,55.973803,Elevation,260,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,6.3,5.4,2.05,2.3,4.4,3.1,5.7,2.6,,3,5.1,4.1,3.5,6,2,8,3.6,1.2,1.15,0.6,3.2,4.12,5.75,2.53,5.1,1.18,2.12,1.23,5.42,1.6,1.4,0.5,3.82,1.3,,,,,5.03,3.01,2.52,6.84,3.18,1.66,,,,
February,,,-999,1.9,3,1.83,5.05,0.31,4.1,4.5,,3.1,2.6,0.95,0.95,6,4.4,3.3,1.6,1.2,1.8,4.6,2.75,1.5,2.3,3.24,1.07,2.58,1.55,2.35,1.05,0.3,3,4,9.2,0.4,,,,,3.55,0.86,0.96,6.97,3.1,1.97,,,,
March,,,-999,1.1,5.3,1,2,1.75,3,1.6,,2,2.7,2.1,2.53,1.8,4.3,1.8,0.9,3.2,2,2.4,4.04,1,2.9,1.2,2.88,1.9,5.3,1.1,1.92,3.62,1.23,1.1,2.8,2.7,,,,,1.53,2.62,2.04,7.72,1.8,3.33,,,,
April,,,2.43,2.2,1.5,0.55,1.03,2.85,3.7,1.45,,4.9,1.4,0,1.1,1.2,4.8,3.1,1.5,1.5,5.5,0.48,2.8,1.4,0.7,1.48,1.4,1.38,1.6,3,0.78,0.23,0.84,1.2,1.4,1.7,,,,,2.06,2.42,1.2,1.19,4.4,1.9,,,,
May,,,3.27,1.85,1.8,2.95,1,2.6,2.2,0.9,,-999,3.7,2.8,-999,2.3,1,2.9,3.5,1.2,0.6,2.2,1.52,1.2,2.9,2.76,4.17,0.9,2.4,2.94,1.6,1.4,2.9,1.47,2.6,0.53,,,,,1.77,1.88,1.54,2.04,2.81,0.93,,,,
June,,,2.7,2.6,1.5,0.3,2.2,-999,0.5,1,,-999,4.1,1.2,-999,2.3,2.3,2.7,2.8,3.8,1,1.95,2.66,2.03,0.3,0.5,1.5,0.48,2.38,0.7,2.29,0.42,4.1,1.18,3.1,1.42,,,,,3.24,2.45,3.07,1.88,1.79,0.47,,,,
July,,,2.9,0.1,2,3.1,3.25,-999,0.26,0.9,,3.1,3.8,3.75,2.4,2.3,2.7,3.6,0.3,5.1,4,3.62,2.93,4.8,4.58,1,2.65,1.87,5.23,2.96,2.72,1.7,1.7,3,2.65,4.83,,,,,4.09,1.5,3.33,4.4,2.33,2.08,,,,
August,,,4.6,2.9,1.85,4.1,4,3.45,4.1,-999,,2.9,5.05,3.8,6.8,1.8,3.4,8.7,5,4.6,0.38,5,1.5,2.87,0.9,2,0.83,2.85,1.53,5.02,3.52,3.62,6.9,2.95,4.35,6,,,,,3.75,3.59,2.08,3.95,4.61,3.41,,,,
September,,,2.5,3.25,3.1,0.7,3.8,2,3,-999,,2.6,5.7,5,2.9,3.6,5,1.3,4.4,1.9,2.4,2.55,2.18,1.88,2.36,3.4,3.73,4.44,0.7,1.16,2.1,4,2.52,1.11,0.37,1.13,,,,,3.38,1.45,1.48,2.55,1.85,2.31,,,,
October,,,5.7,3.4,6.18,4.9,-999,2.45,2.3,1.25,2.4,2.7,3.5,6,4.3,5.1,3.8,4,3.3,1.6,1.25,1.95,2.85,3.34,2.3,2.1,3.8,1.36,1.55,3.45,2.2,2.06,3.6,3.3,3.9,3.48,,,,,4.32,2.61,1.6,6.82,1.44,2.14,,,,
November,,,1.6,-999,2.15,2.5,-999,0.9,2.1,-999,1.63,2.2,4.3,1.9,4,5.9,3.8,4.1,-999,1.49,4.6,3.7,4.57,4.6,3.06,1.85,1.87,4.5,5.72,0.82,5.3,2.15,2.1,1.58,3,3.23,,,,,5.19,3.22,1.25,1.92,1.39,4.37,,,,
December,,,4,-999,2.85,2.1,3.2,1.7,4.5,-999,3.1,2.9,3.4,1.9,1,4.4,9.3,2.8,-999,1.95,3.4,2.3,3.56,2.4,5.45,1.53,3.85,1.7,2.08,1.91,1.8,6,1.7,2.4,2.4,4.5,,,,,6.1,3.65,4.08,2.15,4.64,2.77,,,,
Total,,,41.1,30.9,33.28,26.33,34.98,27.61,35.46,24.3,,31.55,45.35,33.5,31.78,42.7,46.8,46.3,30.9,28.74,28.08,31.35,34.56,31.14,33.5,23.59,32.85,25.14,32.16,26.64,30.7,27.1,31.99,23.79,39.59,31.22,,,,,44.01,29.26,25.15,48.43,33.34,27.34,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
