BRADFORD YORKSHIRE MECHANICS INSTITUTE,,,,,,,,,,,,,,,,,,,,
Grid ref,SE167330,Long,-1.7479749,Lat,53.793048,Elevation,329,ft,,,,,,,,,,,,
Station no,RR2986,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,1.62,5.12,1.46,4.24,2.6,2.46,3.33,3.13,3.34,1.57,3.82,2.96,2.12,4.04,0.82,,,
February,,,0.62,1.22,1.65,1.94,5.35,1.73,2.17,4.4,1.96,2.04,3.16,0.69,1.21,0.97,3,,,
March,,,4.12,1.17,3.02,0.72,0.9,1.5,3.03,1.83,1.89,1.23,2.67,3.02,2.47,0.59,3.34,,,
April,,,2.01,1.17,1.8,0.59,1.63,3.58,1.58,1.93,0.69,2.62,3.68,0.13,1.38,0.71,2.08,,,
May,,,4.14,1.69,1.47,2.29,0.45,2.87,1.27,6.34,1.32,1.26,1.14,1.71,0.92,1.23,0.66,,,
June,,,2.34,3.87,1.26,0.53,3.35,1.45,0.59,0.76,2.11,3.3,5.32,1.17,0.83,2.3,1.75,,,
July,,,2.15,1.37,0.2,1.74,3.98,2.48,0.64,0.48,0.66,2.26,3.91,2.33,1.59,4.31,1.46,,,
August,,,1.98,3.51,0.62,3.77,4.72,1.55,2.28,1.59,1.88,1.07,3.02,2.08,2.5,2.69,1.97,,,
September,,,2.31,4.58,2.06,0.14,6.36,1.75,3.52,4.99,1.03,4.71,4.02,1.26,2.26,2.97,3,,,
October,,,5.57,4.84,3.71,4.79,1.89,1.97,3.04,1.64,6.98,2.83,4.31,2,2.57,4.65,3.48,,,
November,,,0.79,2.9,3.09,2.98,5.15,1.03,2.6,2.43,2.66,0.75,4.51,2.25,2.95,4.16,3.88,,,
December,,,1.68,2.08,2.08,1.45,4.81,1.69,8.62,5.49,3.66,1.53,3.56,0.36,2.76,0.87,7.15,,,
Total,,,29.33,33.52,22.42,25.18,41.19,24.06,32.67,35.01,28.18,25.17,43.12,19.96,23.56,29.49,32.59,,,
,,,,,,,,,,,,,,,,,,,,
1869 Mar transcr,,,,,,,,,,,,,,,,,,,,
The Institute was originally located in the triangle between Leeds Road and Well Street - NGR above. Gauge located on roof at 48' above ground,,,,,,,,,,,,,,,,,,,,
It moved to new premises in 1871 on Bridge St. which would tie with the change in elevation to 400' and 75' above the ground  in 1872.,,,,,,,,,,,,,,,,,,,,
