"CROSSMAGLEN, ANAMAR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IH905179,Long,-6.617301,Lat,54.102002,Elevation,384,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,6190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,5.18,3.1,6.42,3.84,5.13,2.47,4.8,3.36,2.6,2.43,2.72,1.5,5.08,4.55,3.9,5.04,4.68,3,6.21,4.92,,,,,,,
February,,,,,1.33,4.21,2.97,2.49,5.09,4.61,0.41,2.98,0.18,2.85,0.24,3.03,1.8,4.5,1.53,2.2,3.84,3.19,1.51,1.36,,,,,,,
March,,,,,1.13,0.87,1.7,3.76,4.07,0.45,3.22,3.63,2.28,2.19,2.87,1.54,2.27,3.1,1.02,3.52,5.22,3.46,4.07,1.01,,,,,,,
April,,,,,3.63,3.1,1.82,1.4,1.83,0.99,1.7,3.54,2.42,1.49,2.46,3.29,0.81,2.5,0.12,1.83,4.35,1.88,2.67,0.61,,,,,,,
May,,,,,3.9,5.28,2.33,1.84,1.65,2.24,1.89,4.29,3.21,2.45,2.34,0.99,1.72,1.49,3.7,1.37,1.2,2.02,4.07,3.4,,,,,,,
June,,,,,3.09,0.67,3.08,3.03,4.1,2.57,2.25,5.3,1.4,2.65,2.05,5,3.05,1.71,3.89,1.96,1.02,0.73,0.21,3.56,,,,,,,
July,,,,,4.47,3.4,,2.9,2.2,3.79,3.2,3.82,4.9,2.64,1.19,0.9,7.66,4.54,4.23,5.22,5.14,2.94,2.09,1.99,,,,,,,
August,,,,,4.82,2.27,,4.95,5.12,6.62,6.92,3.71,1.49,2.01,4.97,4.38,2.12,2.59,2.08,1.91,0.76,3.84,4.54,6.11,,,,,,,
September,,,,,5.78,3.49,2.59,5.25,2.36,0.99,3.67,3.88,2.96,0.71,3.12,4.59,3.92,3.18,2.71,1.6,2.6,1.25,5.61,1.82,,,,,,,
October,,,,3.26,3.12,3.93,3.06,3.37,5.41,4.32,5.51,2.28,3.43,2.53,3.76,3.45,2.41,2.35,6.15,5.09,5.57,3.7,2.01,3.07,,,,,,,
November,,,,3.32,3.29,2.8,4.84,3.71,5.62,4.51,4.3,6.19,2.05,1.54,1.65,4.96,3.24,2.89,5.2,5.28,3.72,3.9,0.39,2.47,,,,,,,
December,,,,2.43,5.02,2.78,1.11,2.65,4.22,6.3,4.06,2.78,5.03,1.2,6.76,3.6,2.66,3.29,3.96,2.66,3.9,1.95,4.28,2.66,,,,,,,
Total,,,,,44.76,35.9,,39.19,46.8,39.86,41.93,45.76,31.95,24.69,34.13,37.23,36.74,36.69,38.49,37.68,42,31.86,37.66,32.98,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1926 July, Aug and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
