"WATFORD (WATERWORKS)",,,,,,,,,,,,
Grid ref,TQ114958,Long,-0.391214,Lat,51.649967,,,,,,,
Station no,908,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.20,1.91,0.94,0.85,2.42,4.45,1.72,2.77,2.59,2.28,,
February,4.67,0.69,1.82,2.39,1.62,0.28,3.28,2.78,0.09,2.42,,
March,3.63,2.55,0.61,2.54,1.20,1.00,1.42,1.39,2.28,1.79,,
April,2.88,1.93,2.89,0.34,0.60,1.09,0.28,2.10,2.60,0.68,,
May,2.56,1.80,1.44,2.15,4.83,0.42,1.34,2.98,0.66,2.62,,
June,1.76,1.02,2.41,3.87,2.16,2.68,1.25,3.96,1.73,1.58,,
July,0.98,0.61,4.11,2.96,0.40,4.04,3.38,2.71,3.58,3.59,,
August,3.68,5.09,2.34,2.84,1.28,6.01,2.26,3.08,1.78,3.57,,
September,3.28,3.50,2.22,2.10,1.79,3.03,2.94,4.45,0.03,4.48,,
October,1.03,3.05,2.73,2.37,3.94,2.46,2.14,2.37,2.21,6.08,,
November,5.28,3.32,1.45,4.82,2.43,0.64,2.22,2.24,2.43,4.90,,
December,1.66,2.83,0.54,1.79,2.43,4.13,2.60,3.47,4.35,3.31,,
Total,34.61,28.30,23.50,29.02,25.10,30.23,24.83,34.30,24.33,37.30,,
Calc annual,34.61,28.30,23.50,29.02,25.10,30.23,24.83,34.30,24.33,37.30,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,,
