"WALKERBURN (ELIBANK)",,,,,,,,,,,,
Grid ref,NT396367,Long,-2.960611,Lat,55.620118,,,,,,,
Station no,5063,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.04,3.63,0.66,3.72,2.61,2.46,4.25,3.20,1.53,3.44,,
February,2.94,0.88,0.94,2.67,2.22,1.97,3.73,3.49,0.64,4.03,,
March,2.90,1.44,0.56,2.60,1.75,1.97,2.24,2.23,1.42,2.45,,
April,2.83,1.81,3.01,0.93,0.62,0.84,1.08,1.78,2.72,2.72,,
May,3.20,2.15,2.05,5.42,2.55,1.04,2.28,2.80,0.57,2.02,,
June,1.65,1.79,2.13,2.46,1.06,2.81,1.16,4.66,2.50,0.94,,
July,2.61,2.01,3.95,2.93,1.82,4.16,3.72,6.82,2.01,2.85,,
August,4.77,3.37,2.75,5.11,0.79,8.72,5.39,3.56,0.84,3.49,,
September,2.17,1.38,2.91,3.99,1.42,2.52,2.00,2.59,0.84,1.81,,
October,0.36,3.74,1.83,5.56,2.03,1.94,2.38,2.38,3.38,3.32,,
November,7.30,3.47,3.15,5.82,1.59,1.06,1.55,0.92,5.67,3.35,,
December,3.27,4.33,1.87,4.10,5.14,4.10,3.58,4.99,3.95,3.01,,
Total,38.04,30.00,25.81,45.31,23.60,33.59,33.36,39.42,26.07,33.43,,
Calc annual,38.04,30.00,25.81,45.31,23.60,33.59,33.36,39.42,26.07,33.43,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
