"WASHINGTON",,,,,,,,,,,,
Grid ref,TQ118135,Long,-0.411163,Lat,50.910151,,,,,,,
Station no,490/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.58,2.68,1.65,1.56,4.51,5.73,3.47,4.83,4.01,3.47,,
February,7.33,0.93,1.40,3.02,2.07,0.32,5.69,2.71,0.14,3.92,,
March,4.32,2.84,0.25,3.80,1.36,0.33,2.15,2.27,2.40,2.12,,
April,2.16,2.22,2.87,0.37,0.24,1.67,0.20,0.91,3.21,0.90,,
May,2.65,2.37,1.81,1.73,3.31,0.62,1.43,3.27,0.77,1.96,,
June,2.74,1.23,1.54,3.52,2.65,2.70,2.12,3.69,1.31,1.92,,
July,2.97,0.68,4.16,3.92,1.38,3.04,4.45,2.25,1.31,5.43,,
August,6.23,3.24,1.98,3.23,1.54,4.30,3.13,3.82,1.87,5.08,,
September,3.51,3.74,4.45,3.21,2.29,4.81,4.31,4.50,0.08,5.94,,
October,1.70,4.11,4.30,3.15,3.84,2.01,2.15,3.63,3.74,8.78,,
November,6.47,4.05,2.03,7.22,2.44,0.73,3.39,2.75,4.04,7.81,,
December,3.34,3.28,0.97,2.80,4.58,5.95,2.66,5.26,9.63,5.15,,
Total,48.00,31.37,27.41,37.53,30.21,32.21,35.15,39.89,32.51,52.48,,
Calc annual,48.00,31.37,27.41,37.53,30.21,32.21,35.15,39.89,32.51,52.48,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
