"SLAIDBURN (HOLDRON MOSS)",,,,,,,,,,,,
Grid ref,SD606511,Long,-2.601891,Lat,53.954483,,,,,,,
Station no,3078/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.68,8.95,4.19,8.37,5.61,,9.70,6.60,5.33,7.89,,
February,6.42,3.16,3.87,5.90,3.08,,5.52,11.73,2.50,7.80,,
March,7.80,6.25,2.03,4.90,2.86,,6.62,3.57,4.41,2.77,,
April,5.80,6.04,5.15,2.46,6.05,,1.38,3.52,4.67,5.75,,
May,2.66,4.25,4.29,3.99,7.00,,3.78,8.64,3.43,3.46,,
June,1.74,7.00,4.42,7.74,6.25,,3.52,6.29,5.15,3.02,,
July,6.35,5.30,11.56,15.40,2.18,,9.84,5.42,6.83,14.99,,
August,6.80,11.58,8.69,10.55,1.17,,8.50,5.93,1.35,6.37,,
September,6.85,6.71,10.90,11.97,5.99,,13.22,9.20,0.90,5.75,,
October,2.78,5.66,2.57,16.85,4.65,,11.38,8.05,8.60,5.64,,
November,11.80,3.66,11.05,11.31,3.71,,3.06,3.38,8.72,13.92,,
December,19.87,7.42,4.05,12.95,10.44,,8.78,6.82,15.76,9.75,,
Total,87.55,75.98,72.77,112.39,58.99,,85.30,79.15,67.65,87.11,,
Calc annual,87.55,75.98,72.77,112.39,58.99,0.00,85.30,79.15,67.65,87.11,,
Difference,-0.00,0.00,0.00,0.00,0.00,NaN,0.00,0.00,0.00,0.00,,
