"EAGLESHAM ( PICKETLAW RES. ) NO 1",,,,,,,,,,,,
Grid ref,NS567516,Long,-4.283878,Lat,55.736527,,,,,,,
Station no,5277/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.95,5.63,3.69,4.92,3.31,2.92,7.20,6.49,1.89,5.33,,
February,4.52,2.62,2.65,4.51,3.06,1.68,3.43,4.04,3.27,6.40,,
March,4.20,4.00,1.52,4.28,2.16,3.23,5.76,1.90,3.37,1.99,,
April,4.31,3.12,2.43,2.16,3.32,1.47,3.37,2.35,4.39,4.93,,
May,1.81,2.01,2.72,3.93,4.59,3.76,2.56,4.24,1.87,2.42,,
June,2.52,3.84,1.64,4.81,2.39,4.39,3.45,3.76,4.65,2.73,,
July,4.66,2.88,6.43,5.38,2.06,5.35,4.72,5.17,6.49,4.18,,
August,6.26,5.53,3.82,5.72,1.80,5.33,6.06,4.70,1.44,3.40,,
September,4.00,3.53,6.02,6.89,5.78,5.79,3.99,4.61,1.31,3.72,,
October,1.35,4.85,3.54,11.75,4.02,5.42,7.15,4.48,7.46,3.37,,
November,7.71,2.64,11.47,8.39,2.10,2.07,2.60,2.18,7.01,6.94,,
December,8.01,5.19,6.36,9.28,9.35,8.08,6.81,7.16,8.92,8.64,,
Total,54.30,45.84,52.29,72.02,43.94,49.49,57.10,51.08,52.07,54.05,,
Calc annual,54.30,45.84,52.29,72.02,43.94,49.49,57.10,51.08,52.07,54.05,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,,
