"DENHOLM (SPITAL TOWER)",,,,,,,,,,,,
Grid ref,NT587182,Long,-2.654595,Lat,55.455900,,,,,,,
Station no,5047,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.49,3.29,0.78,3.01,2.54,1.98,4.26,2.54,1.89,3.99,,
February,2.76,0.50,1.08,1.84,2.29,2.32,3.31,2.72,0.77,3.41,,
March,2.57,1.20,0.37,1.85,1.84,1.14,1.65,1.23,1.10,1.96,,
April,2.52,2.27,3.14,0.74,0.58,0.58,0.47,2.00,2.13,1.38,,
May,2.77,1.76,2.18,5.09,2.22,1.10,1.43,2.72,0.60,1.18,,
June,1.46,1.83,2.00,2.05,1.00,2.33,0.92,2.61,2.83,1.34,,
July,3.45,1.10,4.93,2.92,2.11,4.20,2.95,5.74,1.94,3.22,,
August,2.55,3.64,2.33,5.50,0.80,9.04,4.70,2.39,0.45,5.03,,
September,2.88,2.19,2.76,3.03,1.28,2.02,2.24,3.48,0.98,1.50,,
October,0.32,3.43,1.87,5.15,1.78,1.74,2.69,1.85,2.42,3.10,,
November,5.60,3.76,2.98,4.30,1.17,0.87,1.22,0.73,5.36,3.23,,
December,3.41,4.08,1.90,3.19,4.18,3.79,2.21,3.53,4.03,3.18,,
Total,33.78,29.05,26.32,38.67,21.79,31.11,28.05,31.54,24.50,32.52,,
Calc annual,33.78,29.05,26.32,38.67,21.79,31.11,28.05,31.54,24.50,32.52,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
