"GOYLAS RESERVOIR",,,,,,,,,,,,
Grid ref,SN563146,Long,-4.085917,Lat,51.811510,,,,,,,
Station no,4110/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.17,,,,,,,4.97,,6.95,,
February,4.60,,,,,,,5.37,,6.13,,
March,7.97,,,,,,,1.55,,1.97,,
April,4.21,,,,,,,0.82,,4.24,,
May,3.10,,,,,,,4.60,,2.35,,
June,2.29,,,,,,,6.01,3.47,2.47,,
July,1.29,,,,,,,7.40,6.71,7.16,,
August,10.80,,,,,,,4.90,2.02,8.69,,
September,8.20,,,,,,,12.85,0.48,7.61,,
October,1.37,,,,,,,7.51,7.54,7.61,,
November,11.44,,,,,,,6.49,11.38,12.51,,
December,7.14,,,,,,,5.55,12.00,5.51,,
Total,70.58,,,,,,,68.02,,73.20,,
Calc annual,70.58,0.00,0.00,0.00,0.00,0.00,0.00,68.02,43.60,73.20,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,0.00,,
