"TOTTERIDGE (GREAT BUSHEY DRIVE)",,,,,,,,,,,,
Grid ref,TQ259942,Long,-0.182312,Lat,51.632531,,,,,,,
Station no,900/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.01,1.90,0.89,1.03,2.80,4.04,1.60,2.71,2.34,2.16,,
February,5.51,0.88,1.93,2.60,1.99,0.53,3.37,2.69,0.08,2.43,,
March,3.92,3.36,0.58,2.79,1.22,1.09,1.44,1.29,1.95,1.81,,
April,3.30,1.52,2.68,0.31,0.54,1.22,0.28,1.62,2.45,0.47,,
May,2.31,1.27,1.33,2.22,5.65,0.57,1.31,2.72,0.64,2.26,,
June,0.96,1.42,1.67,4.48,1.97,2.75,0.91,5.17,0.81,1.41,,
July,0.83,0.67,3.52,3.00,0.23,4.61,3.23,3.07,2.10,3.60,,
August,3.39,3.37,1.99,3.36,1.31,6.28,2.18,2.86,1.60,2.89,,
September,3.58,3.56,2.09,1.97,1.62,2.60,2.74,4.47,0.05,4.42,,
October,1.17,2.82,2.98,2.58,3.75,2.62,2.14,2.79,1.89,5.97,,
November,5.42,3.84,1.48,4.01,1.23,0.56,2.24,2.34,2.68,4.40,,
December,1.93,2.71,0.69,1.68,2.30,3.46,2.18,3.21,4.03,3.03,,
Total,35.33,27.32,21.83,30.03,24.61,30.33,23.62,34.94,20.62,34.85,,
Calc annual,35.33,27.32,21.83,30.03,24.61,30.33,23.62,34.94,20.62,34.85,,
Difference,0.00,0.00,-0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,,
