"DOWNPATRICK (THE MALL)",,,,,,,,,,,,
Grid ref,IJ483444,Long,-5.720937,Lat,54.326892,,,,,,,
Station no,6199/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.29,3.05,0.80,1.88,3.83,,3.79,3.24,2.25,4.20,,
February,3.72,0.27,0.79,3.56,3.80,,3.45,3.48,1.13,2.37,,
March,2.88,1.20,0.32,3.87,1.47,,3.64,1.74,2.73,3.20,,
April,1.18,1.54,1.73,0.38,1.81,,1.23,1.40,2.08,3.26,,
May,3.41,1.69,2.15,3.60,2.89,,,3.79,1.53,2.66,,
June,1.94,1.61,1.64,2.09,4.62,,,5.48,2.71,1.65,,
July,2.06,1.65,3.44,2.64,0.75,,,4.05,1.69,4.12,,
August,4.10,4.80,3.10,2.45,1.42,,4.38,4.50,0.63,4.88,,
September,3.14,1.27,2.49,3.59,,4.35,3.90,5.80,2.63,3.42,,
October,0.43,5.59,2.07,5.13,,1.83,3.47,1.40,3.53,5.32,,
November,6.84,2.55,3.39,4.98,,2.47,2.06,1.88,3.97,4.39,,
December,3.73,2.80,3.23,3.42,,3.72,4.83,4.40,4.34,2.76,,
Total,37.72,28.02,25.15,37.59,,,,41.16,29.22,42.23,,
Calc annual,37.72,28.02,25.15,37.59,20.59,12.37,30.75,41.16,29.22,42.23,,
Difference,0.00,0.00,-0.00,0.00,NaN,NaN,NaN,-0.00,0.00,0.00,,
