"DUNCHURCH HALL",,,,,,,,,,,,
Grid ref,SP484710,Long,-1.291106,Lat,52.334958,,,,,,,
Station no,2458,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.49,1.73,1.15,1.02,2.12,3.25,1.18,3.30,3.86,3.69,,
February,2.90,0.57,1.26,2.99,1.32,0.62,2.44,3.42,0.00,2.01,,
March,3.34,2.38,1.30,1.75,2.49,0.81,1.78,1.36,2.46,1.06,,
April,2.85,1.72,2.11,0.40,0.87,0.57,0.18,0.91,2.47,0.48,,
May,2.81,2.41,0.92,2.31,4.51,0.43,1.46,2.00,0.45,1.51,,
June,1.35,2.29,1.80,2.26,2.19,2.74,1.40,4.72,0.73,4.44,,
July,0.94,0.36,2.80,3.70,0.18,2.52,2.92,3.87,0.86,3.19,,
August,6.30,3.52,2.93,3.40,0.43,4.48,2.35,2.91,1.47,3.37,,
September,1.62,1.39,1.58,2.20,1.97,1.82,4.64,2.23,0.13,4.41,,
October,0.82,3.09,2.60,2.78,1.32,1.79,1.22,2.30,2.05,4.52,,
November,4.67,2.39,1.12,5.15,1.11,0.80,1.82,1.85,2.41,3.14,,
December,1.69,2.45,1.11,1.61,2.49,2.72,1.84,2.18,3.77,2.89,,
Total,31.78,24.30,20.68,29.57,21.00,22.55,23.23,31.05,20.66,34.71,,
Calc annual,31.78,24.30,20.68,29.57,21.00,22.55,23.23,31.05,20.66,34.71,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
