"LYPE HILL",,,,,,,,,,,,
Grid ref,SS954366,Long,-3.495874,Lat,51.119107,,,,,,,
Station no,2088/9,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,1.32,3.19,6.65,6.51,6.79,5.88,7.02,5.89,,
February,,,3.32,5.40,4.90,0.32,6.84,6.73,0.40,5.67,,
March,,,2.25,5.77,1.76,2.77,5.24,1.86,4.94,3.18,,
April,,,4.32,1.20,2.20,2.62,0.33,1.87,5.93,3.93,,
May,,,3.25,3.26,6.88,0.95,2.68,6.11,1.56,2.19,,
June,,2.04,2.50,4.36,4.62,2.96,2.18,4.02,2.88,2.32,,
July,,3.05,6.33,4.90,2.22,5.27,5.54,3.42,3.25,6.47,,
August,,9.71,5.31,5.34,0.87,4.38,5.87,5.00,5.22,4.50,,
September,,6.05,6.76,6.76,2.83,8.57,7.69,7.77,0.38,6.15,,
October,,6.99,4.03,6.55,2.92,2.72,5.72,4.64,6.64,16.27,,
November,,6.00,4.57,12.19,5.23,1.86,2.95,3.18,8.10,8.34,,
December,,5.95,2.22,6.41,9.24,7.25,4.84,5.25,13.69,10.10,,
Total,,,46.18,65.33,50.32,46.18,56.67,55.73,60.01,75.01,,
Calc annual,0.00,39.79,46.18,65.33,50.32,46.18,56.67,55.73,60.01,75.01,,
Difference,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
