"GAIRLOCH (BANK OF SCOTLAND HOUSE)",,,,,,,,,,,,
Grid ref,NG807755,Long,-5.683588,Lat,57.715589,,,,,,,
Station no,5784/9/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.72,6.29,4.48,,,,,,,,,
February,3.62,3.69,5.70,,,,,,,,,
March,2.88,4.44,3.61,,,,,,,,,
April,4.62,3.03,5.81,,,,,,,,,
May,1.22,3.47,4.78,,,,,,,,,
June,1.80,4.97,1.98,,,,,,,,,
July,4.43,3.46,5.48,,,,,,,,,
August,4.78,5.44,5.36,,,,,,,,,
September,3.36,6.25,5.05,,,,,,,,,
October,5.40,5.51,4.52,,,,,,,,,
November,5.01,4.78,12.13,,,,,,,,,
December,7.52,5.86,4.25,,,,,,,,,
Total,50.36,57.19,63.15,,,,,,,,,
Calc annual,50.36,57.19,63.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
