"MELTON (GREYLANDS)",,,,,,,,,,,,
Grid ref,TM285507,Long,1.335390,Lat,52.107396,,,,,,,
Station no,1356,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.71,2.71,0.83,1.60,2.34,4.05,1.43,2.47,2.24,3.96,,
February,3.78,0.92,1.31,2.23,2.06,1.14,2.64,3.11,0.18,1.18,,
March,3.19,3.26,0.32,2.28,1.48,0.80,1.24,1.30,1.46,1.71,,
April,3.12,0.61,1.64,0.24,0.21,0.85,0.36,1.02,1.52,0.70,,
May,2.20,1.32,1.41,1.28,2.21,0.81,1.69,2.84,0.24,0.72,,
June,1.17,1.39,2.42,1.36,2.63,1.80,2.02,3.99,0.40,1.68,,
July,2.54,0.88,2.88,2.44,0.20,1.76,2.96,2.15,2.89,3.47,,
August,3.16,2.31,1.41,4.21,2.75,3.95,2.82,3.43,1.28,3.13,,
September,3.14,3.34,1.53,1.54,1.53,2.26,2.79,2.18,0.01,4.45,,
October,0.60,1.69,1.84,1.67,4.02,1.61,1.62,2.64,1.93,6.25,,
November,4.16,4.99,1.08,3.98,0.62,1.03,1.75,0.92,2.68,3.25,,
December,2.01,2.90,0.79,2.21,1.63,1.98,2.08,3.59,3.26,3.71,,
Total,30.78,26.32,17.46,25.04,21.68,22.04,23.40,29.64,18.09,34.21,,
Calc annual,30.78,26.32,17.46,25.04,21.68,22.04,23.40,29.64,18.09,34.21,,
Difference,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,,
