"KIRRIEMUIR (LINTRATHEN) CHECK GAUGE",,,,,,,,,,,,
Grid ref,NO275540,Long,-3.184682,Lat,56.672121,,,,,,,
Station no,5576/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.80,2.80,0.70,2.05,2.00,3.60,4.55,3.50,1.57,4.06,,
February,3.40,0.85,1.05,3.40,1.45,1.20,3.76,2.19,0.54,4.10,,
March,1.70,3.80,0.44,2.60,1.88,2.40,3.43,3.67,2.52,2.91,,
April,2.00,1.48,2.10,1.00,1.30,0.72,1.14,0.96,3.62,3.30,,
May,1.70,4.73,1.90,4.60,2.35,0.94,2.16,2.99,0.85,2.81,,
June,2.70,2.35,2.25,1.83,2.28,3.64,1.34,3.51,2.70,2.46,,
July,3.10,3.70,5.00,3.07,0.68,4.42,5.22,3.70,3.74,4.15,,
August,4.70,2.65,2.50,3.03,0.68,6.38,4.54,3.86,1.18,6.60,,
September,2.05,1.65,2.85,4.05,1.68,4.86,2.25,3.63,0.86,2.16,,
October,0.80,3.10,1.70,6.15,2.16,2.20,2.06,2.76,2.86,6.37,,
November,10.70,2.00,3.10,6.68,2.10,1.05,1.49,1.07,5.54,5.10,,
December,3.43,2.20,4.30,4.10,6.30,5.26,5.14,4.72,6.90,2.79,,
Total,40.08,31.31,27.89,42.56,24.86,36.67,37.08,36.56,32.88,46.81,,
Calc annual,40.08,31.31,27.89,42.56,24.86,36.67,37.08,36.56,32.88,46.81,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
