"STRICHEN (HIGH STREET)",,,,,,,,,,,,
Grid ref,NJ946551,Long,-2.091972,Lat,57.585909,,,,,,,
Station no,5659/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,4.86,,
February,,,,,,,,,,3.55,,
March,,,,,,,,,,1.32,,
April,,,,,,,,,,2.14,,
May,,,,,,,,,,1.42,,
June,,,,,,,,,1.31,1.45,,
July,,,,,,,,,2.91,2.95,,
August,,,,,,,,,1.64,6.06,,
September,,,,,,,,,1.28,2.86,,
October,,,,,,,,,4.68,6.21,,
November,,,,,,,,,6.12,5.80,,
December,,,,,,,,,5.30,2.13,,
Total,,,,,,,,,,40.75,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.24,40.75,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
