"BIRDSALL GARDENS",,,,,,,,,,,,
Grid ref,SE815648,Long,-0.755994,Lat,54.072693,,,,,,,
Station no,3386,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.25,2.27,1.19,1.63,1.87,6.15,1.42,3.02,2.89,5.92,,
February,3.48,0.91,2.50,2.67,2.52,3.29,3.25,4.28,0.35,2.37,,
March,3.61,2.65,0.23,2.32,2.77,1.69,1.74,3.20,1.67,1.32,,
April,1.36,1.42,2.81,0.42,1.44,1.11,0.60,1.35,3.10,1.22,,
May,3.67,1.39,1.72,4.12,3.20,1.06,1.78,3.18,0.58,1.18,,
June,2.01,2.00,1.72,2.10,2.20,3.14,1.83,4.74,1.92,0.74,,
July,1.89,2.18,2.47,2.18,1.50,4.40,3.59,3.58,2.36,5.02,,
August,6.60,2.70,3.70,6.83,0.94,6.71,5.10,3.10,0.29,3.79,,
September,2.20,4.20,1.51,2.20,1.42,1.54,3.12,2.65,0.36,3.27,,
October,1.40,3.51,1.73,4.32,2.16,1.70,2.82,2.24,1.92,6.30,,
November,5.98,2.35,2.56,5.67,2.01,1.44,2.85,0.95,3.87,4.70,,
December,2.50,3.14,1.34,3.02,3.36,2.82,3.14,3.99,4.61,3.75,,
Total,36.95,28.72,23.48,37.48,25.39,35.05,31.24,36.28,23.92,39.58,,
Calc annual,36.95,28.72,23.48,37.48,25.39,35.05,31.24,36.28,23.92,39.58,,
Difference,0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,,
