"HAYDON BRIDGE",,,,,,,,,,,,
Grid ref,NY844639,Long,-2.245210,Lat,54.969473,,,,,,,
Station no,3559/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.48,3.35,0.56,3.13,3.07,2.77,2.47,1.72,2.36,4.34,,
February,2.10,0.57,1.08,1.75,1.96,1.67,1.90,3.74,0.55,1.80,,
March,3.85,0.83,0.32,0.94,1.26,1.21,1.81,2.05,0.86,1.90,,
April,1.92,1.54,2.78,0.59,0.52,1.18,0.87,1.77,2.12,1.06,,
May,2.27,1.71,2.31,4.35,2.00,0.91,1.20,3.30,0.31,1.69,,
June,0.31,1.86,1.33,2.32,2.30,3.06,0.92,2.84,2.66,0.79,,
July,1.35,1.44,2.82,2.14,1.33,3.53,3.82,4.46,1.28,3.53,,
August,3.58,2.09,3.94,5.03,1.11,8.63,3.64,2.66,0.35,3.15,,
September,1.20,3.06,3.25,4.64,1.37,2.87,2.90,2.44,0.84,1.72,,
October,0.95,2.35,1.27,6.37,1.80,1.73,2.43,1.77,2.32,6.08,,
November,6.09,2.92,2.36,3.23,1.02,0.88,1.52,0.92,4.50,2.96,,
December,4.03,3.13,1.45,3.76,3.94,2.82,2.47,3.46,4.03,2.71,,
Total,30.13,24.85,23.47,38.25,21.68,31.26,25.95,31.13,22.18,31.73,,
Calc annual,30.13,24.85,23.47,38.25,21.68,31.26,25.95,31.13,22.18,31.73,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
