"RAYNE (STANEWAY)",,,,,,,,,,,,
Grid ref,TL728227,Long,0.508882,Lat,51.876096,,,,,,,
Station no,1305,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.77,2.08,0.92,1.26,2.14,3.67,1.32,2.17,,,,
February,5.10,0.64,1.23,2.57,1.94,0.77,2.54,3.93,,,,
March,2.67,3.36,0.32,2.21,1.41,0.79,1.29,1.10,,,,
April,2.70,0.88,2.17,0.28,0.18,1.33,0.33,,,,,
May,2.30,0.64,1.34,1.95,4.19,0.55,1.14,,,,,
June,0.99,1.06,2.18,2.09,3.39,1.89,1.73,,,,,
July,1.44,0.60,3.45,2.20,0.56,3.57,3.03,,,,,
August,2.26,2.01,1.39,2.71,1.35,4.42,2.43,,,,,
September,4.19,2.27,1.90,1.18,2.01,2.48,2.42,,,,,
October,0.55,1.96,3.00,1.54,4.49,2.62,1.95,,,,,
November,3.68,3.78,1.17,3.18,0.85,0.61,2.77,,,,,
December,1.94,2.08,0.74,1.55,1.62,2.34,2.20,,,,,
Total,29.59,21.36,19.81,22.72,24.13,25.04,23.15,,,,,
Calc annual,29.59,21.36,19.81,22.72,24.13,25.04,23.15,7.20,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,NaN,NaN,NaN,,
