"WORCESTER (DIGLIS LOCK)",,,,,,,,,,,,
Grid ref,SO847533,Long,-2.225166,Lat,52.177739,,,,,,,
Station no,2388,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.17,1.80,0.66,1.11,2.79,3.49,1.05,1.96,3.19,4.98,,
February,2.45,0.65,1.33,1.89,1.54,0.31,2.24,4.12,0.05,2.04,,
March,3.99,1.89,1.03,2.08,2.33,0.72,1.75,1.36,2.16,1.89,,
April,2.63,2.08,2.22,0.42,0.97,1.54,0.01,0.48,2.92,1.14,,
May,3.22,3.06,2.49,2.58,4.19,0.47,1.40,1.91,1.03,0.47,,
June,0.73,1.89,1.41,3.11,4.10,1.47,1.66,2.24,0.77,1.75,,
July,0.76,0.50,3.08,2.21,0.76,2.73,2.78,2.28,1.49,2.31,,
August,3.84,4.91,2.95,3.85,0.24,3.85,5.39,1.91,1.89,4.19,,
September,2.78,1.49,1.99,1.30,1.45,2.38,3.35,4.38,0.12,4.10,,
October,0.76,4.27,1.97,2.39,1.29,1.09,0.81,2.11,2.42,5.79,,
November,5.94,2.64,1.19,5.25,3.20,0.97,2.14,2.19,3.66,3.78,,
December,2.09,2.09,1.32,1.56,2.07,2.24,1.88,3.40,4.80,2.92,,
Total,31.36,27.27,21.64,27.75,24.93,21.26,24.46,28.34,24.50,35.36,,
Calc annual,31.36,27.27,21.64,27.75,24.93,21.26,24.46,28.34,24.50,35.36,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
