"LOCH TURRET",,,,,,,,,,,,
Grid ref,NN852287,Long,-3.863402,Lat,56.436474,,,,,,,
Station no,5545/5/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.50,3.50,2.00,,,4.00,8.70,4.70,3.25,6.25,,
February,6.60,1.80,2.00,,,2.10,7.70,4.25,2.65,7.20,,
March,4.50,4.50,2.00,,,4.00,7.80,5.10,,4.60,,
April,4.40,2.60,2.65,,,1.35,2.65,2.35,9.70,5.55,,
May,1.80,2.60,2.90,,,3.25,3.50,4.70,1.55,4.95,,
June,3.50,3.50,2.45,,,4.10,2.45,5.90,2.70,3.45,,
July,4.10,2.05,5.80,,,6.80,7.10,6.42,6.95,6.40,,
August,7.30,5.30,3.00,,,8.00,6.85,6.43,2.35,7.15,,
September,4.75,2.50,6.85,,,8.10,4.10,7.50,1.30,6.45,,
October,1.65,5.40,2.95,,,4.05,3.50,4.65,6.25,,,
November,,3.00,,,,1.50,4.25,2.05,10.90,,,
December,,4.25,,,,10.10,7.30,8.00,9.90,,,
Total,,41.00,,,,57.35,65.90,62.05,57.50,,,
Calc annual,45.10,41.00,32.60,0.00,0.00,57.35,65.90,62.05,57.50,52.00,,
Difference,NaN,0.00,NaN,NaN,NaN,0.00,0.00,0.00,0.00,NaN,,
