"ASHWATER RECTORY",,,,,,,,,,,,
Grid ref,SX389954,Long,-4.284344,Lat,50.735811,,,,,,,
Station no,1665,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.92,5.18,1.43,3.17,4.50,,,,,,,
February,5.04,1.69,2.22,5.26,4.57,,,,,,,
March,5.67,3.96,1.37,3.65,1.47,,,,,,,
April,2.79,3.82,3.31,1.00,2.13,,,,,,,
May,3.85,3.95,3.28,3.61,4.38,,,,,,,
June,0.89,1.84,2.65,4.76,3.21,,,,,,,
July,2.18,1.54,4.44,5.38,1.28,,,,,,,
August,5.18,8.66,2.90,6.28,0.44,,,,,,,
September,3.25,4.57,4.81,2.54,2.88,,,,,,,
October,2.03,6.35,3.22,4.44,3.52,,,,,,,
November,7.67,4.71,3.57,8.96,3.62,,,,,,,
December,4.96,5.41,1.92,4.78,8.31,,,,,,,
Total,48.43,51.68,35.12,53.83,40.31,,,,,,,
Calc annual,48.43,51.68,35.12,53.83,40.31,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
