"WELLINGBOROUGH (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,SP911673,Long,-0.665583,Lat,52.296284,,,,,,,
Station no,1119,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.25,1.29,0.76,0.66,1.84,3.84,1.15,2.47,3.46,3.67,,
February,2.74,0.58,1.19,1.89,1.85,1.03,2.04,3.08,0.07,1.78,,
March,2.95,2.39,0.53,1.87,2.16,0.77,1.75,1.54,2.49,1.76,,
April,2.28,1.89,1.72,0.19,0.58,1.04,0.33,0.72,1.84,0.43,,
May,3.36,3.29,1.50,2.30,3.44,0.42,1.94,2.10,0.41,1.39,,
June,0.81,1.07,1.21,2.09,1.87,2.96,2.34,5.61,0.60,2.31,,
July,0.68,0.30,2.56,2.42,0.14,4.49,3.17,2.12,2.79,3.63,,
August,3.90,2.92,2.36,3.18,0.57,3.98,2.34,3.27,0.61,3.37,,
September,1.39,2.06,0.97,1.85,1.44,1.65,4.16,2.04,0.01,4.48,,
October,0.63,2.20,1.09,1.82,1.79,1.38,1.69,1.95,1.25,4.88,,
November,3.44,2.21,1.40,4.25,1.24,0.54,1.54,1.79,1.67,3.43,,
December,1.18,1.98,0.53,2.20,1.89,2.98,2.40,2.42,3.84,2.29,,
Total,25.61,22.18,15.82,24.72,18.81,25.08,24.85,29.11,19.04,33.42,,
Calc annual,25.61,22.18,15.82,24.72,18.81,25.08,24.85,29.11,19.04,33.42,,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
