"BLACK MOUNTAINS (THE DAM, GRWYNE FAWR)",,,,,,,,,,,,
Grid ref,SO233307,Long,-3.117886,Lat,51.969459,,,,,,,
Station no,4203,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.61,4.16,1.40,3.81,5.29,6.55,5.53,5.28,7.51,7.23,,
February,7.84,1.11,2.14,4.80,3.82,0.71,6.26,8.88,0.40,7.20,,
March,7.42,3.52,3.91,4.33,3.74,2.52,4.89,2.57,5.91,5.18,,
April,5.41,3.73,3.98,0.99,1.98,2.78,0.35,1.60,6.46,5.48,,
May,5.23,5.88,3.11,4.37,7.15,1.22,3.48,5.89,4.54,2.18,,
June,1.69,4.44,2.50,8.70,7.90,3.72,1.90,5.21,3.84,2.61,,
July,1.78,2.10,5.49,3.84,1.82,5.30,6.18,4.84,4.90,6.40,,
August,6.00,9.82,5.39,6.24,0.89,5.33,7.67,5.02,1.75,4.40,,
September,4.37,4.88,4.55,5.63,3.30,7.46,9.41,10.33,0.34,8.39,,
October,2.11,6.83,3.89,8.63,3.64,2.85,3.81,5.86,6.27,16.30,,
November,12.90,5.42,4.25,12.86,6.19,2.13,3.96,2.95,9.10,13.65,,
December,5.27,5.35,2.75,4.58,7.98,7.37,7.15,5.60,15.51,7.69,,
Total,65.63,57.24,43.36,68.78,53.70,47.94,60.59,64.03,66.53,86.71,,
Calc annual,65.63,57.24,43.36,68.78,53.70,47.94,60.59,64.03,66.53,86.71,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
