"HAMPTON (WATERWORKS)",,,,,,,,,,,,
Grid ref,TQ131695,Long,-0.375090,Lat,51.413249,,,,,,,
Station no,833/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.92,1.66,0.80,1.03,2.13,3.65,1.51,1.91,1.95,1.85,,
February,5.04,0.80,1.03,2.05,1.28,0.22,2.76,2.15,0.06,1.66,,
March,2.75,2.84,0.39,1.93,0.90,0.50,0.93,1.06,1.75,1.52,,
April,2.38,1.21,2.07,0.26,0.23,1.03,0.29,1.01,2.02,0.61,,
May,2.02,1.94,1.33,1.72,3.44,0.17,1.44,2.34,0.99,1.87,,
June,0.83,1.98,1.47,4.25,2.48,1.83,0.72,3.56,0.97,1.68,,
July,1.33,0.52,3.54,2.25,0.31,5.15,2.98,2.31,1.80,3.69,,
August,2.89,4.00,1.35,3.38,0.77,2.65,4.65,3.08,1.26,2.41,,
September,2.08,3.14,1.86,1.70,1.85,2.08,2.47,3.37,0.30,2.25,,
October,0.73,2.68,2.77,1.77,2.25,1.83,1.79,1.97,1.96,5.45,,
November,5.49,2.84,1.14,3.33,1.00,0.43,2.18,1.77,2.56,3.65,,
December,1.59,2.12,0.52,1.92,1.90,2.72,1.75,2.63,2.87,1.98,,
Total,30.05,25.73,18.27,25.59,18.54,22.26,23.47,27.16,18.22,28.62,,
Calc annual,30.05,25.73,18.27,25.59,18.54,22.26,23.47,27.16,18.49,28.62,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.27,0.00,,
