"WAREHAM (STOKEFORD)",,,,,,,,,,,,
Grid ref,SY867872,Long,-2.189624,Lat,50.684300,,,,,,,
Station no,1571,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.54,,,,,,,,,,,
February,6.72,,,,,,,,,,,
March,4.04,,,,,,,,,,,
April,2.96,,,,,,,,,,,
May,2.85,,,,,,,,,,,
June,0.23,,,,,,,,,,,
July,1.75,,,,,,,,,,,
August,4.73,,,,,,,,,,,
September,4.28,,,,,,,,,,,
October,1.13,,,,,,,,,,,
November,9.24,,,,,,,,,,,
December,2.98,,,,,,,,,,,
Total,44.45,,,,,,,,,,,
Calc annual,44.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
