"WHITEHAVEN (SCRAGILL RESERVOIR)",,,,,,,,,,,,
Grid ref,NX983170,Long,-3.573366,Lat,54.538018,,,,,,,
Station no,3657,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.14,3.28,2.76,2.85,2.51,,,,,,,
February,3.14,0.77,1.47,5.22,1.19,,,,,,,
March,4.52,3.15,0.35,3.26,2.02,,,,,,,
April,1.59,3.40,1.99,1.02,2.89,,,,,,,
May,1.21,2.52,2.66,3.73,2.46,,,,,,,
June,1.62,2.78,1.55,4.94,4.83,,,,,,,
July,3.05,1.81,4.78,4.93,3.46,,,,,,,
August,7.80,4.01,4.01,4.67,2.67,,,,,,,
September,6.45,3.16,6.25,6.39,3.22,,,,,,,
October,0.54,3.03,2.53,8.12,2.49,,,,,,,
November,6.89,1.75,5.97,8.55,2.31,,,,,,,
December,5.79,4.57,3.36,4.38,4.51,,,,,,,
Total,47.74,34.23,37.68,58.06,34.56,,,,,,,
Calc annual,47.74,34.23,37.68,58.06,34.56,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
