"HORSEHEATH (OLD RECTORY)",,,,,,,,,,,,
Grid ref,TL613474,Long,0.353585,Lat,52.101422,,,,,,,
Station no,1191/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.69,1.86,1.13,1.60,2.34,,,,,,,
February,4.19,0.88,1.74,1.81,,,,,,,,
March,3.38,3.36,0.70,2.46,,,,,,,,
April,3.40,1.57,2.37,0.40,,,,,,,,
May,2.71,1.20,1.81,3.03,,,,,,,,
June,1.62,1.73,2.51,2.22,,,,,,,,
July,2.20,0.87,2.94,3.86,,,,,,,,
August,3.73,3.85,2.28,4.76,,,,,,,,
September,3.07,2.86,1.60,1.27,,,,,,,,
October,1.28,2.37,3.08,2.11,,,,,,,,
November,4.16,4.43,1.41,3.59,,,,,,,,
December,1.95,2.82,0.91,2.46,,,,,,,,
Total,34.38,27.80,22.48,29.57,,,,,,,,
Calc annual,34.38,27.80,22.48,29.57,2.34,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,,
