"GRETTON (HILLSIDE)",,,,,,,,,,,,
Grid ref,SP896940,Long,-0.680429,Lat,52.536502,,,,,,,
Station no,1148/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.51,2.03,0.81,1.43,3.20,,,,,,,
February,4.13,0.48,2.00,2.45,1.68,,,,,,,
March,3.27,2.83,1.07,2.60,3.93,,,,,,,
April,1.88,1.74,2.12,0.23,0.86,,,,,,,
May,3.76,2.61,1.82,3.15,3.32,,,,,,,
June,1.05,1.28,2.25,2.62,2.75,,,,,,,
July,0.48,0.43,2.06,2.24,0.37,,,,,,,
August,3.95,3.07,2.82,4.41,0.70,,,,,,,
September,1.86,4.08,1.11,2.11,0.97,,,,,,,
October,0.81,2.83,2.01,3.10,1.75,,,,,,,
November,5.37,2.98,1.79,5.08,0.91,,,,,,,
December,1.43,2.69,0.64,2.71,0.75,,,,,,,
Total,30.50,27.05,20.50,32.13,21.19,,,,,,,
Calc annual,30.50,27.05,20.50,32.13,21.19,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
