"GARSTANG (CALDER INTAKE)",,,,,,,,,,,,
Grid ref,SD544484,Long,-2.695959,Lat,53.929707,,,,,,,
Station no,3061,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.20,4.40,2.50,5.40,2.70,4.10,4.85,4.60,3.37,5.20,,
February,4.10,1.40,1.99,3.75,1.90,0.72,3.85,5.85,1.25,3.55,,
March,5.81,3.20,0.95,2.80,1.80,1.10,3.70,2.10,2.50,1.70,,
April,2.80,3.80,3.50,1.40,3.20,2.30,0.55,1.90,3.75,3.01,,
May,2.15,2.50,2.70,3.20,4.20,2.90,2.80,5.95,2.20,2.40,,
June,1.65,4.80,3.50,6.12,3.95,3.15,2.10,4.24,4.29,1.65,,
July,4.65,2.48,6.60,8.30,1.45,3.80,5.70,3.80,5.55,8.35,,
August,4.57,8.60,5.35,7.85,0.95,14.60,5.48,3.90,0.56,6.63,,
September,4.01,3.85,6.04,9.20,2.90,4.00,8.70,6.25,0.50,3.80,,
October,2.15,4.45,2.12,10.80,2.40,3.95,6.85,4.75,4.70,3.10,,
November,8.85,2.28,5.30,6.75,2.54,1.93,1.60,2.01,6.10,9.30,,
December,10.55,4.20,2.60,6.00,4.56,5.89,5.05,4.15,8.75,4.89,,
Total,56.49,45.96,43.15,71.57,32.55,48.44,51.23,49.50,43.52,53.58,,
Calc annual,56.49,45.96,43.15,71.57,32.55,48.44,51.23,49.50,43.52,53.58,,
Difference,0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
