"NARBOROUGH HALL",,,,,,,,,,,,
Grid ref,TF748130,Long,0.584690,Lat,52.686482,,,,,,,
Station no,1469/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.80,2.25,1.19,1.63,2.07,3.38,1.67,2.18,3.09,3.30,,
February,2.33,1.06,1.47,2.18,2.39,1.34,2.91,3.77,0.20,1.43,,
March,3.67,2.79,1.11,2.55,1.66,0.80,1.97,0.94,1.43,1.04,,
April,2.93,1.63,2.05,0.15,0.78,0.90,0.21,0.73,1.49,0.64,,
May,2.07,1.94,1.48,2.95,2.15,1.04,0.99,3.14,0.47,0.62,,
June,1.00,0.95,4.50,1.89,2.11,2.41,2.30,2.44,1.18,1.35,,
July,1.04,0.56,2.46,2.87,0.22,3.16,3.36,4.15,2.88,2.64,,
August,3.12,3.38,2.49,5.04,0.78,4.04,3.75,3.31,1.78,2.83,,
September,2.37,2.71,1.13,2.43,1.54,1.37,3.86,2.42,0.03,2.75,,
October,0.73,2.55,2.60,2.23,3.01,1.84,1.65,2.13,2.06,3.49,,
November,3.15,3.19,1.62,4.28,1.27,1.12,1.44,1.52,1.52,3.65,,
December,1.49,2.04,0.94,2.19,1.49,1.53,1.99,2.90,3.77,3.32,,
Total,26.70,25.05,23.04,30.39,19.47,22.93,26.10,29.63,19.90,27.06,,
Calc annual,26.70,25.05,23.04,30.39,19.47,22.93,26.10,29.63,19.90,27.06,,
Difference,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,,
