"CHATBURN SCHOOL",,,,,,,,,,,,
Grid ref,SD769441,Long,-2.352976,Lat,53.892558,,,,,,,
Station no,2991,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.31,4.71,1.93,4.05,2.82,5.28,3.71,3.69,3.00,6.07,,
February,4.27,1.39,1.89,3.32,1.40,1.00,3.31,6.92,0.40,2.67,,
March,4.79,2.61,1.52,2.27,1.85,1.47,3.27,1.64,1.87,0.83,,
April,2.39,3.01,3.44,1.01,2.15,2.73,1.33,1.06,3.37,2.60,,
May,1.67,2.63,3.51,3.01,2.77,1.94,2.41,5.99,1.94,2.67,,
June,1.18,3.23,2.43,3.52,3.22,2.12,1.67,4.97,3.28,1.12,,
July,3.62,2.37,5.73,4.96,0.96,4.89,4.29,3.95,2.77,7.35,,
August,4.01,6.25,6.06,5.06,1.23,10.75,4.78,4.56,0.57,6.26,,
September,3.86,4.92,5.07,5.26,2.78,3.92,5.47,4.76,0.33,3.16,,
October,1.19,3.32,1.59,8.57,2.87,2.14,5.22,3.45,4.54,3.70,,
November,8.47,2.27,5.07,5.37,1.86,1.76,1.52,1.89,5.80,7.76,,
December,10.12,3.81,2.26,6.36,5.64,4.41,5.25,3.71,6.14,5.17,,
Total,49.88,40.52,40.50,52.76,29.55,42.41,42.23,46.59,34.01,49.36,,
Calc annual,49.88,40.52,40.50,52.76,29.55,42.41,42.23,46.59,34.01,49.36,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,-0.00,,
