"BOLTON W.W. (CRANBERRY MOSS)",,,,,,,,,,,,
Grid ref,SD710192,Long,-2.440397,Lat,53.668466,,,,,,,
Station no,2887,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.70,4.52,2.50,5.60,3.00,6.10,4.85,5.54,3.69,7.30,,
February,4.09,2.02,1.42,3.56,2.47,1.30,4.15,8.70,1.02,4.04,,
March,5.48,3.18,3.03,3.47,2.50,1.95,5.17,2.57,2.60,1.57,,
April,3.12,4.38,4.18,1.15,3.88,3.15,0.90,2.03,3.92,3.26,,
May,2.49,3.08,3.13,3.40,5.01,2.33,2.75,5.67,1.55,2.55,,
June,1.59,4.98,2.98,4.21,4.51,3.10,2.68,4.76,3.17,1.75,,
July,4.42,3.08,7.62,8.56,1.24,6.65,9.10,4.40,5.40,10.08,,
August,5.69,6.28,5.68,7.48,1.71,14.02,8.26,5.37,0.51,6.83,,
September,4.40,6.08,5.97,6.53,5.28,4.40,10.46,5.23,0.46,4.05,,
October,1.12,6.09,2.38,10.18,3.39,3.52,8.42,5.81,5.90,5.33,,
November,10.02,3.33,7.44,8.96,3.37,2.23,2.70,2.38,6.30,9.00,,
December,12.15,5.31,2.50,7.95,6.60,5.46,7.05,5.15,10.87,6.45,,
Total,60.27,52.33,48.83,71.05,42.96,54.21,66.49,57.61,45.39,62.21,,
Calc annual,60.27,52.33,48.83,71.05,42.96,54.21,66.49,57.61,45.39,62.21,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
