"WOOL (EAST BURTON HOUSE)",,,,,,,,,,,,
Grid ref,SY833869,Long,-2.237737,Lat,50.681514,,,,,,,
Station no,1569/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.01,1.88,,,,,,,,,,
February,5.01,0.65,,,,,,,,,,
March,3.06,2.73,,,,,,,,,,
April,2.09,1.39,,,,,,,,,,
May,2.24,1.98,,,,,,,,,,
June,0.29,0.61,,,,,,,,,,
July,1.09,0.76,,,,,,,,,,
August,3.31,1.80,,,,,,,,,,
September,3.34,4.60,,,,,,,,,,
October,0.98,4.08,,,,,,,,,,
November,7.38,3.33,,,,,,,,,,
December,2.35,2.78,,,,,,,,,,
Total,34.15,26.59,,,,,,,,,,
Calc annual,34.15,26.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
