"KELSO (FLOORS)",,,,,,,,,,,,
Grid ref,NT707345,Long,-2.466589,Lat,55.603225,,,,,,,
Station no,5058,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.09,2.00,0.83,-999.00,2.35,2.22,3.11,1.45,1.45,3.89,,
February,2.02,0.53,1.13,1.18,2.09,2.93,2.72,2.20,0.58,2.03,,
March,2.87,0.82,0.25,1.28,1.28,0.59,1.68,1.43,0.61,1.62,,
April,2.50,1.39,2.92,0.68,0.68,0.73,0.50,2.36,1.59,1.10,,
May,2.87,1.67,1.97,5.47,1.87,0.93,1.64,2.60,0.42,1.31,,
June,1.55,1.91,1.10,2.36,1.19,2.56,1.64,2.86,3.27,0.96,,
July,2.45,1.53,3.01,2.38,1.87,3.68,2.92,4.50,1.92,3.21,,
August,2.61,4.75,2.81,5.95,0.43,8.71,3.53,2.63,0.47,4.91,,
September,1.39,2.26,2.70,2.93,2.07,2.46,1.85,2.53,0.91,1.41,,
October,0.32,3.21,1.47,4.48,1.96,1.20,1.94,1.42,2.13,5.73,,
November,5.46,4.08,2.47,2.79,1.23,0.73,1.24,0.89,4.57,2.47,,
December,1.64,4.50,1.99,2.36,4.43,2.49,1.95,4.08,2.85,2.63,,
Total,28.77,28.65,22.65,34.10,21.45,29.23,24.72,28.95,20.77,31.27,,
Calc annual,28.77,28.65,22.65,31.86,21.45,29.23,24.72,28.95,20.77,31.27,,
Difference,-0.00,0.00,0.00,2.24,0.00,-0.00,-0.00,0.00,-0.00,0.00,,
