"CLAY CROSS (PRESS RESERVOIRS)",,,,,,,,,,,,
Grid ref,SK354657,Long,-1.471686,Lat,53.187221,,,,,,,
Station no,2673,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.97,2.18,0.68,2.07,1.77,3.94,2.40,3.64,3.30,4.43,,
February,3.97,0.50,1.47,2.41,2.00,1.58,2.99,5.19,0.05,2.75,,
March,4.18,1.92,1.75,2.44,2.95,1.03,2.76,2.49,1.70,1.84,,
April,1.51,2.06,2.88,0.50,0.77,2.18,0.09,0.94,3.83,1.54,,
May,4.24,3.35,1.99,3.42,2.40,0.65,1.19,2.77,0.85,1.60,,
June,1.21,2.70,2.41,3.19,3.41,3.11,1.67,5.41,0.99,1.24,,
July,0.77,1.57,2.78,2.24,0.99,4.22,3.46,4.99,1.69,3.23,,
August,4.29,1.62,1.96,4.54,0.28,6.00,3.89,1.99,1.06,4.66,,
September,2.48,2.10,1.91,3.16,0.87,3.80,6.70,2.95,0.08,4.68,,
October,1.01,4.07,2.57,3.41,2.59,1.85,2.06,2.97,2.47,6.75,,
November,8.33,1.82,1.62,5.73,3.04,0.64,2.51,0.87,4.20,5.28,,
December,2.83,2.25,1.30,3.03,3.19,3.95,3.05,4.15,5.07,3.88,,
Total,37.79,26.14,23.32,36.14,24.26,32.95,32.77,38.36,25.29,41.88,,
Calc annual,37.79,26.14,23.32,36.14,24.26,32.95,32.77,38.36,25.29,41.88,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
