"EAGLESHAM ( DUNWAN RESERVOIR ) NO 2A ( NEW SITE )",,,,,,,,,,,,
Grid ref,NS555497,Long,-4.301968,Lat,55.719113,,,,,,,
Station no,1233243,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,6.50,1.98,5.91,,
February,,,,,,,,4.88,3.65,6.52,,
March,,,,,,,,2.10,3.42,2.07,,
April,,,,,,,,2.39,4.21,5.26,,
May,,,,,,,,4.41,1.97,2.42,,
June,,,,,,,,3.67,4.70,3.16,,
July,,,,,,,,5.38,6.72,4.74,,
August,,,,,,,,4.67,1.58,3.91,,
September,,,,,,,,5.13,1.38,4.04,,
October,,,,,,,,4.55,7.92,3.48,,
November,,,,,,,,2.24,7.13,7.37,,
December,,,,,,,,7.33,9.29,9.80,,
Total,,,,,,,,53.25,53.95,58.68,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.25,53.95,58.68,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
