"REVESBY RESERVOIR",,,,,,,,,,,,
Grid ref,TF303634,Long,-0.052989,Lat,53.151805,,,,,,,
Station no,2551,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.99,1.78,1.13,1.87,2.39,5.77,1.74,2.27,3.41,5.18,,
February,3.44,0.57,1.95,2.54,3.64,1.48,2.25,3.79,0.25,3.13,,
March,3.23,3.31,0.90,1.91,2.30,1.05,1.82,1.83,2.01,1.35,,
April,2.31,1.04,3.52,0.46,0.99,1.23,0.27,0.80,1.88,0.99,,
May,3.70,1.26,3.21,3.00,3.61,0.62,1.72,2.64,0.41,0.70,,
June,1.11,1.87,3.44,1.96,2.99,3.00,2.28,3.37,0.71,0.21,,
July,0.89,0.41,1.36,2.23,0.58,3.27,2.24,4.60,2.67,4.11,,
August,4.41,1.56,2.66,4.09,0.91,3.46,2.88,1.82,1.15,4.78,,
September,1.19,2.55,0.75,2.06,0.81,1.78,4.21,2.09,0.07,2.79,,
October,1.26,2.82,2.30,3.16,1.57,1.23,1.54,1.68,1.75,11.43,,
November,3.60,2.97,2.06,4.13,1.51,1.00,2.16,0.99,2.30,3.79,,
December,1.19,2.13,0.92,2.35,2.07,1.47,2.16,3.21,3.84,4.29,,
Total,29.32,22.27,24.20,29.76,23.37,25.36,25.27,29.09,20.45,42.75,,
Calc annual,29.32,22.27,24.20,29.76,23.37,25.36,25.27,29.09,20.45,42.75,,
Difference,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
