"PLYMPTON (LITTLE WOODFORD)",,,,,,,,,,,,
Grid ref,SX531571,Long,-4.068131,Lat,50.395377,,,,,,,
Station no,1640/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.16,4.39,1.14,2.13,6.45,5.08,4.23,5.41,6.20,5.62,,
February,4.84,0.77,2.12,5.50,4.36,0.53,6.75,4.59,0.26,4.99,,
March,5.56,5.05,0.69,4.50,1.83,1.96,5.73,2.32,6.28,2.33,,
April,2.26,3.71,2.94,0.49,1.96,1.19,0.33,0.99,4.08,3.14,,
May,3.20,2.51,4.51,3.42,3.95,1.25,2.30,3.99,0.75,2.18,,
June,1.52,1.54,2.95,4.17,2.82,3.69,2.12,4.48,2.03,1.65,,
July,1.15,1.30,4.48,4.18,1.67,4.39,5.47,3.67,1.29,5.12,,
August,6.28,5.99,2.41,3.41,1.35,4.17,3.84,5.97,3.19,5.01,,
September,5.17,3.24,3.36,5.15,2.15,7.11,4.50,6.78,0.78,7.71,,
October,1.33,6.40,3.82,4.83,3.00,2.15,3.52,4.66,5.02,9.89,,
November,6.53,4.14,3.12,9.12,4.81,1.52,2.93,3.46,9.33,8.08,,
December,4.10,3.91,0.91,4.77,7.68,7.25,3.65,5.69,10.54,5.38,,
Total,47.10,42.95,32.45,51.67,42.03,40.29,45.37,52.01,49.75,61.10,,
Calc annual,47.10,42.95,32.45,51.67,42.03,40.29,45.37,52.01,49.75,61.10,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
