"PEEBLES (CRAIGERNE)",,,,,,,,,,,,
Grid ref,NT248394,Long,-3.196297,Lat,55.642307,,,,,,,
Station no,5073/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,3.62,,
February,,,,,,,,,,3.54,,
March,,,,,,,,,,2.09,,
April,,,,,,,,,,2.57,,
May,,,,,,,,,1.19,1.83,,
June,,,,,,,,,2.01,0.97,,
July,,,,,,,,,2.58,,,
August,,,,,,,,,1.01,,,
September,,,,,,,,,0.78,1.55,,
October,,,,,,,,,3.92,2.49,,
November,,,,,,,,,5.26,3.00,,
December,,,,,,,,,3.98,3.33,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.73,24.99,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
