"LOCH A'CHROISG (LUIBMORE)",,,,,,,,,,,,
Grid ref,NH096585,Long,-5.185901,Lat,57.576303,,,,,,,
Station no,5773/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.59,9.18,11.41,7.68,5.23,8.04,11.89,8.44,4.69,,,
February,4.46,6.15,6.73,3.40,4.62,6.58,5.30,7.50,4.26,,,
March,3.85,4.26,3.14,4.03,3.64,2.60,6.10,2.55,2.95,,,
April,6.41,3.45,5.81,3.23,3.14,3.54,3.15,5.86,6.64,,,
May,1.62,4.51,4.90,5.21,4.98,7.30,2.63,7.00,,,,
June,2.25,4.93,1.61,4.25,3.06,2.91,4.15,1.78,,,,
July,,5.21,9.08,4.84,0.74,4.99,5.00,2.58,,,,
August,,5.97,6.11,4.00,1.02,4.90,8.89,6.01,,,,
September,,9.82,7.95,8.92,8.64,3.91,7.79,3.28,,,,
October,3.99,9.57,4.72,12.20,8.98,10.36,11.45,10.72,,,,
November,7.12,7.44,13.65,8.15,3.76,12.30,4.37,2.30,,,,
December,13.36,7.81,6.64,18.43,12.26,13.84,11.92,6.09,,,,
Total,,78.30,81.75,84.34,60.07,81.27,82.64,64.11,,,,
Calc annual,49.65,78.30,81.75,84.34,60.07,81.27,82.64,64.11,18.54,0.00,,
Difference,NaN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,,
