"BLAIRGOWRIE (DUNELLEN)",,,,,,,,,,,,
Grid ref,NO176434,Long,-3.342800,Lat,56.575278,,,,,,,
Station no,5566/65,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,4.26,2.71,1.33,,,
February,,,,,,,3.60,1.76,0.54,,,
March,,,,,,,2.69,2.40,1.91,,,
April,,,,,,,0.70,0.93,2.38,,,
May,,,,,,,1.66,3.10,0.74,,,
June,,,,,,,0.85,2.92,3.84,,,
July,,,,,,,3.79,3.46,3.34,,,
August,,,,,,,3.25,3.77,0.74,,,
September,,,,,,4.81,1.50,3.21,0.96,,,
October,,,,,,1.74,1.58,2.33,2.94,,,
November,,,,,,0.76,1.24,0.73,,,,
December,,,,,,4.57,4.78,4.56,,,,
Total,,,,,,,29.90,31.88,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,11.88,29.90,31.88,18.72,0.00,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,NaN,NaN,,
