"RIVINGTON (BROWN HILL)",,,,,,,,,,,,
Grid ref,SD635157,Long,-2.553494,Lat,53.636537,,,,,,,
Station no,2998/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.23,4.02,2.35,4.32,2.50,6.05,3.12,4.37,3.25,6.67,,
February,3.68,1.65,1.57,3.62,2.45,0.95,3.80,8.05,0.68,3.71,,
March,5.47,2.70,1.55,3.00,3.20,2.10,3.70,2.12,2.12,1.87,,
April,2.69,3.69,3.67,1.05,2.82,3.10,0.80,1.70,3.15,2.65,,
May,3.09,2.35,2.65,3.40,4.10,1.61,2.30,4.86,1.62,2.81,,
June,1.67,4.10,2.95,4.75,4.00,2.92,2.53,4.88,2.51,1.40,,
July,3.38,3.45,5.00,7.40,1.03,7.35,6.75,4.56,4.93,8.14,,
August,4.93,4.22,4.93,6.85,1.88,12.95,7.25,5.67,0.70,5.91,,
September,3.31,5.42,4.20,5.40,5.15,4.45,7.34,5.91,0.43,3.72,,
October,0.66,5.10,2.55,8.73,2.45,3.33,6.57,4.95,4.60,4.97,,
November,9.56,2.80,5.65,7.90,3.20,1.65,2.17,2.26,5.99,7.79,,
December,8.20,4.00,1.72,5.80,5.95,4.75,5.28,5.03,9.08,4.63,,
Total,50.87,43.50,38.79,62.22,38.73,51.21,51.61,54.36,39.06,54.27,,
Calc annual,50.87,43.50,38.79,62.22,38.73,51.21,51.61,54.36,39.06,54.27,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00,0.00,,
