"ROBERTSBRIDGE (DARVELL HALL SANATORIUM)",,,,,,,,,,,,
Grid ref,TQ729229,Long,0.461658,Lat,50.979551,,,,,,,
Station no,558/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.73,3.97,1.16,1.63,4.51,5.62,2.98,4.09,3.10,2.66,,
February,7.79,1.20,1.71,2.69,2.01,0.77,5.16,3.03,0.06,2.84,,
March,4.71,2.68,0.18,3.77,1.22,0.61,1.51,1.50,2.01,2.93,,
April,2.47,1.84,2.71,0.42,0.25,1.24,0.17,1.43,2.95,0.97,,
May,1.98,1.55,1.32,2.14,4.95,0.34,0.96,2.39,0.42,2.17,,
June,1.74,1.08,2.06,3.83,1.96,2.49,1.17,3.91,0.57,2.30,,
July,1.61,0.61,5.26,4.80,2.91,3.35,4.95,2.02,2.28,4.06,,
August,5.24,4.38,2.24,3.72,1.52,3.34,3.32,3.93,0.74,4.92,,
September,4.43,4.42,4.70,3.58,2.08,3.59,3.62,3.35,0.14,2.51,,
October,2.99,3.78,2.98,3.19,5.68,1.47,1.77,4.36,3.70,8.54,,
November,6.24,4.09,2.25,7.16,1.78,0.66,3.22,1.96,5.36,8.11,,
December,3.33,4.49,0.84,2.29,3.93,4.66,2.46,4.60,9.34,4.08,,
Total,47.26,34.09,27.41,39.22,32.80,28.14,31.29,36.57,30.67,46.09,,
Calc annual,47.26,34.09,27.41,39.22,32.80,28.14,31.29,36.57,30.67,46.09,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
