"CHURCH GRESLEY (MAURICE LEA PARK)",,,,,,,,,,,,
Grid ref,SK305789,Long,-1.543754,Lat,53.306172,,,,,,,
Station no,2644/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.50,2.04,1.05,0.93,1.56,2.47,1.23,1.55,3.12,5.33,,
February,2.29,0.52,1.31,1.89,1.93,0.90,2.32,2.78,0.19,1.24,,
March,3.80,2.35,1.07,1.98,2.83,1.14,2.20,1.32,1.55,1.48,,
April,1.79,2.26,2.03,0.43,1.18,0.85,0.16,0.38,2.69,0.98,,
May,2.66,3.02,1.97,2.58,3.58,0.53,0.85,1.39,0.42,1.50,,
June,0.81,2.18,2.50,1.69,2.91,2.92,1.60,4.78,0.49,3.87,,
July,0.84,0.69,2.40,2.83,0.74,1.58,5.69,5.34,1.37,2.98,,
August,5.23,1.85,2.79,5.14,0.36,5.01,1.78,1.41,0.60,2.93,,
September,1.38,1.71,2.17,1.60,1.23,2.03,5.67,2.27,0.06,3.93,,
October,0.57,2.35,2.21,3.60,1.89,1.13,1.17,2.85,2.31,4.49,,
November,4.73,1.69,1.71,3.46,1.77,0.70,1.90,1.92,2.63,3.10,,
December,1.77,2.62,1.26,3.52,1.45,2.85,1.71,2.83,3.24,2.80,,
Total,28.37,23.28,22.47,29.65,21.43,22.11,26.28,28.82,18.67,34.63,,
Calc annual,28.37,23.28,22.47,29.65,21.43,22.11,26.28,28.82,18.67,34.63,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
