"GLEN MORISTON (CORRIE DOE)",,,,,,,,,,,,
Grid ref,NH183146,Long,-5.008190,Lat,57.186096,,,,,,,
Station no,5711/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,9.00,,,,8.65,4.68,5.50,,
February,,,,5.75,,,,4.70,5.86,5.92,,
March,,,,5.25,,,,2.25,5.14,1.05,,
April,,,,2.92,,,,4.70,3.70,8.43,,
May,,,,5.19,,,,7.00,3.19,2.05,,
June,,,,3.35,,,,3.58,6.43,2.07,,
July,,,,2.53,,,,2.25,9.48,2.96,,
August,,,,3.65,,,,7.30,4.25,6.93,,
September,,,,9.61,,,,6.40,2.81,4.75,,
October,,,,13.25,,,,11.20,10.27,1.75,,
November,,,,12.33,,,,1.40,10.23,6.94,,
December,,,,17.04,,,,6.82,13.00,11.51,,
Total,,,,89.87,57.14,74.57,89.32,66.25,79.04,59.86,,
Calc annual,0.00,0.00,0.00,89.87,0.00,0.00,0.00,66.25,79.04,59.86,,
Difference,NaN,NaN,NaN,0.00,57.14,74.57,89.32,0.00,0.00,0.00,,
