"CANT CLOUGH N SIDE (BURNLEY W.W.)",,,,,,,,,,,,
Grid ref,SD890313,Long,-2.168400,Lat,53.777914,,,,,,,
Station no,2960/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.68,6.67,2.27,4.73,2.45,6.10,4.42,5.29,3.34,6.08,,
February,4.77,2.01,2.92,3.88,2.53,1.48,4.38,6.89,0.71,4.40,,
March,5.74,2.64,2.37,3.34,2.65,2.04,4.16,2.33,2.32,1.84,,
April,3.51,3.75,3.93,0.71,2.37,4.15,0.40,1.45,3.84,3.70,,
May,2.59,2.16,2.43,4.14,4.30,1.84,1.88,5.59,2.28,2.24,,
June,1.48,3.61,3.89,2.79,3.05,2.87,2.39,5.11,3.43,1.16,,
July,4.42,3.01,5.87,4.94,1.34,5.17,5.79,3.80,3.18,7.40,,
August,5.42,6.86,5.65,7.96,1.55,12.05,6.24,4.53,0.99,6.56,,
September,3.60,5.34,5.15,5.93,3.01,4.35,6.39,5.97,0.26,3.22,,
October,1.66,6.33,2.52,7.50,3.37,2.77,5.77,4.31,6.12,6.47,,
November,12.03,3.03,6.28,8.31,3.14,1.93,2.75,1.79,6.64,8.73,,
December,11.61,5.36,2.12,7.40,6.39,6.08,6.25,5.40,9.82,6.01,,
Total,62.51,50.77,45.40,61.63,36.15,50.83,50.82,52.46,42.93,57.81,,
Calc annual,62.51,50.77,45.40,61.63,36.15,50.83,50.82,52.46,42.93,57.81,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,,
