"MARDALE (WHELTER)",,,,,,,,,,,,
Grid ref,NY469132,Long,-2.821654,Lat,54.511310,,,,,,,
Station no,3669/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.95,7.50,4.80,-999.00,9.20,7.30,20.05,12.20,7.98,15.28,,
February,9.77,1.40,3.02,7.20,2.90,1.40,9.55,11.15,2.95,15.62,,
March,6.12,6.40,1.80,7.50,2.62,4.20,8.26,2.73,8.64,2.44,,
April,7.30,6.45,6.45,1.20,3.00,2.10,2.13,3.54,9.17,10.50,,
May,2.41,3.80,4.25,6.70,9.40,4.90,4.99,8.04,2.32,3.45,,
June,2.29,4.80,4.75,8.10,5.40,5.55,1.94,6.46,6.65,6.21,,
July,4.50,3.20,11.30,6.13,3.80,7.15,5.66,6.30,7.72,8.34,,
August,8.92,8.60,7.15,7.72,3.70,12.15,9.44,5.69,1.35,5.44,,
September,16.70,9.30,11.50,17.20,5.10,7.20,9.98,8.97,1.51,4.56,,
October,1.27,12.10,5.50,25.30,7.10,8.85,13.68,9.15,10.93,7.23,,
November,20.60,5.45,14.70,22.00,5.00,3.10,4.13,1.58,15.27,24.00,,
December,17.05,7.91,6.50,14.00,14.60,13.50,11.35,9.45,21.40,12.77,,
Total,105.88,76.91,81.72,131.55,71.82,77.40,101.16,85.26,95.89,115.84,,
Calc annual,105.88,76.91,81.72,123.05,71.82,77.40,101.16,85.26,95.89,115.84,,
Difference,0.00,0.00,0.00,8.50,0.00,0.00,0.00,0.00,0.00,0.00,,
