"EAGLESHAM (SOUTH MOORHOUSE)",,,,,,,,,,,,
Grid ref,NS529509,Long,-4.343967,Lat,55.729103,,,,,,,
Station no,5277/1,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.73,5.17,5.24,7.09,3.61,3.77,8.09,7.66,2.00,6.34,,
February,4.42,3.09,3.32,5.17,3.66,2.37,3.52,4.59,3.74,7.01,,
March,3.94,4.70,1.96,4.75,2.22,3.89,6.71,1.67,4.32,2.30,,
April,3.81,2.77,4.09,2.57,4.31,1.74,4.14,2.41,4.10,6.10,,
May,1.60,2.57,3.37,3.35,5.30,4.52,2.74,4.64,1.94,3.04,,
June,2.56,4.20,2.16,6.91,3.50,4.48,3.97,3.39,5.25,3.76,,
July,5.06,4.04,6.86,5.38,1.63,6.01,5.04,5.10,7.44,4.98,,
August,4.50,7.18,4.54,6.66,2.01,5.97,6.87,5.43,2.11,4.78,,
September,5.11,4.55,7.75,8.99,6.64,7.24,4.89,5.77,1.75,4.72,,
October,1.79,5.35,4.07,14.49,4.64,5.92,8.34,5.64,9.15,3.54,,
November,9.33,3.37,13.50,9.24,2.62,2.68,3.20,2.99,8.49,8.06,,
December,10.54,6.48,7.63,10.97,9.82,9.11,8.01,8.35,10.66,10.34,,
Total,60.39,53.47,64.49,85.57,49.96,57.70,65.52,57.64,60.95,64.97,,
Calc annual,57.39,53.47,64.49,85.57,49.96,57.70,65.52,57.64,60.95,64.97,,
Difference,3.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
